<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
시키라는	시키/pvg+라/ef+는/etm
명령을	명령/ncn+을/jco
먼저	먼저/mag
받는다고	받/pvg+는다/ef+고/ecs
당신은	당신/npp+은/jxc
느낄까	느끼/pvg+ㄹ까/ef
?	?/sf
그것은	그것/npd+은/jxc
뒤의	뒤/ncn+의/jcm
우주선이다	우주/ncn+선/xsn+이/jp+다/ef
.	./sf
그러나	그러나/maj
승무원들에겐	승무원/ncn+들/xsn+에게/jca+는/jxc
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선들이	우주/ncn+선/xsn+들/xsn+이/jcs
동시에	동시/ncn+에/jca
명령을	명령/ncn+을/jco
받는다	받/pvg+는다/ef
.	./sf
그러나	그러나/maj
당신은	당신/npp+은/jxc
뒤의	뒤/ncn+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
먼저	먼저/mag
명령을	명령/ncn+을/jco
받고	받/pvg+고/ecs
가속을	가속/ncn+을/jco
시작하는	시작/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리하여	그리하여/maj
당신이	당신/npp+이/jcs
느끼듯이	느끼/pvg+듯이/ecs
뒤의	뒤/ncn+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
앞뒤의	앞/ncn+뒤/ncn+의/jcm
우주선보다	우주/ncn+선/xsn+보다/jca
어느	어느/mmd
시간	시간/ncn
사이의	사이/ncn+의/jcm
간격이	간격/ncn+이/jcs
좁혀진다	좁히/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
앞의	앞/ncn+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
드디어	드디어/mag
이	이/mmd
명령을	명령/ncn+을/jco
받은	받/pvg+은/etm
후	후/ncn
가속을	가속/ncn+을/jco
시작할	시작/ncpa+하/xsv+ㄹ/etm
것이고	것/nbn+이/jp+고/ecs
,	,/sp
그	그/mmd
때	때/ncn
앞과	앞/ncn+과/jcj
뒤의	뒤/ncn+의/jcm
우주선은	우주/ncn+선/xsn+은/jxc
같은	같/paa+은/etm
속력을	속력/ncn+을/jco
갖게	갖/pvg+게/ecx
될	되/px+ㄹ/etm
것이며	것/nbn+이/jp+며/ecs
우주선간의	우주/ncn+선/xsn+간/nbn+의/jcm
거리는	거리/ncn+는/jxc
더	더/mag
이상	이상/ncn
좁혀지지	좁히/pvg+어/ecx+지/px+지/ecx
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리하여	그리하여/maj
비동시성의	비/xp+동시/ncn+성/xsn+의/jcm
중요한	중요/ncps+하/xsm+ㄴ/etm
결론의	결론/ncn+의/jcm
하나는	하나/nnc+는/jxc
가속하는	가속/ncpa+하/xsv+는/etm
우주선간의	우주/ncn+선/xsn+간/nbn+의/jcm
간격은	간격/ncn+은/jxc
좁혀진다는	좁히/pvg+어/ecx+지/px+ㄴ다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
사령선에서	사령/ncn+선/xsn+에서/jca
가속을	가속/ncn+을/jco
시키라는	시키/pvg+라/ef+는/etm
새로운	새롭/paa+ㄴ/etm
명령이	명령/ncn+이/jcs
하달되면	하달/ncpa+되/xsv+면/ecs
당신이	당신/npp+이/jcs
측정하는	측정/ncpa+하/xsv+는/etm
우주선간의	우주/ncn+선/xsn+간/nbn+의/jcm
거리는	거리/ncn+는/jxc
더욱	더욱/mag
좁혀질	좁히/pvg+어/ecx+지/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
우주선	우주/ncn+선/xsn
승무원들은	승무원/ncn+들/xsn+은/jxc
이	이/mmd
좁혀진	좁히/pvg+어/ecx+지/px+ㄴ/etm
거리를	거리/ncn+를/jco
측정치	측정/ncpa+하/xsv+지/ecx
못할	못하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
속력을	속력/ncn+을/jco
줄이라는	줄이/pvg+라/ef+는/etm
명령도	명령/ncn+도/jxc
당신이	당신/npp+이/jcs
측정하기는	측정/ncpa+하/xsv+기/etn+는/jxc
뒤의	뒤/ncn+의/jcm
우주선에	우주/ncn+선/xsn+에/jca
먼저	먼저/mag
도달될	도달/ncpa+되/xsv+ㄹ/etm
것이며	것/nbn+이/jp+며/ecs
,	,/sp
그러므로	그러므로/maj
뒤의	뒤/ncn+의/jcm
우주선이	우주/ncn+선/xsn+이/jcs
먼저	먼저/mag
감속을	감속/ncn+을/jco
시작할	시작/ncpa+하/xsv+ㄹ/etm
것이고	것/nbn+이/jp+고/ecs
앞의	앞/ncn+의/jcm
우주선	우주/ncn+선/xsn
사이의	사이/ncn+의/jcm
간격은	간격/ncn+은/jxc
더욱	더욱/mag
벌어질	벌어지/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
잠시	잠시/mag
책에서	책/ncn+에서/jca
눈을	눈/ncn+을/jco
뗀	떼/pvg+ㄴ/etm
후	후/ncn
,	,/sp
어떻게	어떠하/pad+게/ecs
우주선의	우주/ncn+선/xsn+의/jcm
승무원들도	승무원/ncn+들/xsn+도/jxc
못	못/mag
느낀	느끼/pvg+ㄴ/etm
채	채/nbn
우주선의	우주/ncn+선/xsn+의/jcm
간격이	간격/ncn+이/jcs
좁아질	좁/paa+아/ecx+지/px+ㄹ/etm
수	수/nbn
있을까를	있/paa+ㄹ까/ef+를/jco
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
만약	만약/mag
우주선들이	우주/ncn+선/xsn+들/xsn+이/jcs
서로의	서로/ncn+의/jcm
간격을	간격/ncn+을/jco
아주	아주/mag
좁혀	좁히/pvg+어/ecs
끝과	끝/ncn+과/jcj
끝을	끝/ncn+을/jco
맞닫게	맞닫/pvg+게/ecx
한다면	하/px+ㄴ다면/ecs
바보가	바보/ncn+가/jcc
아닌	아니/paa+ㄴ/etm
이상	이상/ncn
무슨	무슨/mmd
일이	일/ncn+이/jcs
일어나는	일어나/pvg+는/etm
지를	지/nbn+를/jco
알	알/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
옆면으로의	옆/ncn+면/ncn+으로/jca+의/jcm
축소는	축소/ncn+는/jxc
없다	없/paa+다/ef
.	./sf
빠른	빠르/paa+ㄴ/etm
속력으로	속력/ncn+으로/jca
움직이는	움직이/pvg+는/etm
물체는	물체/ncn+는/jxc
운동하는	운동/ncpa+하/xsv+는/etm
방향으로	방향/ncn+으로/jca
길이가	길이/ncn+가/jcs
줄어드는	줄어들/pvg+는/etm
것은	것/nbn+은/jxc
이미	이미/mag
잘	잘/mag
알려져	알리/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
그렇다면	그렇다면/maj
운동하는	운동/ncpa+하/xsv+는/etm
방향에	방향/ncn+에/jca
수직인	수직/ncn+이/jp+ㄴ/etm
방향으로도	방향/ncn+으로/jca+도/jxc
팽창이나	팽창/ncn+이나/jcj
수축이	수축/ncn+이/jcs
일어날까	일어나/pvg+ㄹ까/ef
?	?/sf
이	이/mmd
질문에	질문/ncn+에/jca
대한	대하/pvg+ㄴ/etm
답을	답/ncn+을/jco
미리	미리/mag
말하자면	말/ncpa+하/xsv+자면/ecs
아무런	아무렇/pad+ㄴ/etm
변화도	변화/ncn+도/jxc
일어나지	일어나/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
이것에	이것/npd+에/jca
대한	대하/pvg+ㄴ/etm
논리적인	논리/ncn+적/xsn+이/jp+ㄴ/etm
설명은	설명/ncn+은/jxc
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
움직이는	움직이/pvg+는/etm
물체가	물체/ncn+가/jcs
운동방향에	운동/ncn+방향/ncn+에/jca
수직한	수직/ncn+하/xsv+ㄴ/etm
면에	면/ncn+에/jca
대해	대하/pvg+어/ecs
수축이	수축/ncn+이/jcs
일어났다고	일어나/pvg+았/ep+다/ef+고/ecs
가정해보자	가정/ncpa+하/xsv+어/ecx+보/px+자/ef
.	./sf
그리고	그리고/maj
그	그/mmd
물체를	물체/ncn+를/jco
총구를	총구/ncn+를/jco
통과하는	통과/ncpa+하/xsv+는/etm
총알이라	총알/ncn+이/jp+라/ef
하면	하/pvg+면/ecs
수축에	수축/ncn+에/jca
의해	의하/pvg+어/ecs
더이상	더이상/mag
총구에	총구/ncn+에/jca
꼭	꼭/mag
맞지는	맞/pvg+지/ecx+는/jxc
않을	않/px+을/etm
것이고	것/nbn+이/jp+고/ecs
총을	총/ncn+을/jco
쏜	쏘/pvg+ㄴ/etm
후	후/ncn
팽창하는	팽창/ncpa+하/xsv+는/etm
기체들은	기체/ncn+들/xsn+은/jxc
총구와	총구/ncn+와/jcj
수축된	수축/ncpa+되/xsv+ㄴ/etm
총알	총알/ncn
사이로	사이/ncn+로/jca
빠져나갈	빠지/pvg+어/ecx+나가/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이제	이제/mag
총알의	총알/ncn+의/jcm
입장에서	입장/ncn+에서/jca
이	이/mmd
상황을	상황/ncn+을/jco
다시	다시/mag
살펴보자	살피/pvg+어/ecx+보/px+자/ef
.	./sf
총알은	총알/ncn+은/jxc
자신의	자신/ncn+의/jcm
"	"/sl
고유	고유/ncn
"	"/sr
의	의/jcm
직경을	직경/ncn+을/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
것이며	것/nbn+이/jp+며/ecs
수축된	수축/ncpa+되/xsv+ㄴ/etm
총구의	총구/ncn+의/jcm
직경도	직경/ncn+도/jxc
측정할	측정/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리하여	그리하여/maj
총알은	총알/ncn+은/jxc
총구를	총구/ncn+를/jco
꽉	꽉/mag
막아버려서	막/pvg+아/ecx+버리/px+어서/ecs
총신을	총신/ncn+을/jco
폭발시켜	폭발/ncpa+시키/xsv+어/ecx
버릴	버리/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
논리적으로	논리/ncn+적/xsn+으로/jca
위의	위/ncn+의/jcm
이	이/mmd
두	두/nnc
가지	가지/nbu
일이	일/ncn+이/jcs
동시에	동시/ncn+에/jca
일어나는	일어나/pvg+는/etm
것은	것/nbn+은/jxc
불가능한	불/xp+가능/ncps+하/xsm+ㄴ/etm
것이기	것/nbn+이/jp+기/etn
때문에	때문/nbn+에/jca
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
운동하는	운동/ncpa+하/xsv+는/etm
물체가	물체/ncn+가/jcs
운동방향에	운동/ncn+방향/ncn+에/jca
수직한	수직/ncn+하/xsv+ㄴ/etm
방향에	방향/ncn+에/jca
대해	대하/pvg+어/ecs
팽창한다는	팽창/ncpa+하/xsv+ㄴ다/ef+는/etm
가정이	가정/ncn+이/jcs
잘못되었음을	잘못/ncn+되/xsv+었/ep+ㅁ/etn+을/jco
지적할	지적/ncpa+하/xsv+ㄹ/etm
때	때/ncn
사용하는	사용/ncpa+하/xsv+는/etm
주장이다	주장/ncn+이/jp+다/ef
.	./sf
위에서와	위/ncn+에서/jca+와/jct
같은	같/paa+은/etm
논리적인	논리/ncn+적/xsn+이/jp+ㄴ/etm
주장을	주장/ncn+을/jco
이제는	이제/mag+는/jxc
운동하는	운동/ncpa+하/xsv+는/etm
방향으로는	방향/ncn+으로/jca+는/jxc
길이의	길이/ncn+의/jcm
축소가	축소/ncn+가/jcs
일어나지	일어나/pvg+지/ecx
않는다고	않/px+는다/ef+고/ecx
해보자	하/px+어/ecx+보/px+자/ef
.	./sf
그러한	그러하/pad+ㄴ/etm
주장은	주장/ncn+은/jxc
운동방향의	운동/ncn+방향/ncn+의/jcm
시간의	시간/ncn+의/jcm
비동시성	비/xp+동시/ncn+성/xsn
때문에	때문/nbn+에/jca
정당화될	정당/ncn+화/xsn+되/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
어떤	어떤/mmd
물체든	물체/ncn+든/jxc
오직	오직/mag
운동방향으로만	운동/ncn+방향/ncn+으로/jca+만/jxc
축소가	축소/ncn+가/jcs
일어나는	일어나/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
공간이	공간/ncn+이/jcs
줄어든다	줄어들/pvg+ㄴ다/ef
우주선도	우주/ncn+선/xsn+도/jxc
아주	아주/mag
많은	많/paa+은/etm
작은	작/paa+은/etm
원자들로	원자/ncn+들/xsn+로/jca
이루어져	이루/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
이웃해	이웃/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
원자들과	원자/ncn+들/xsn+과/jct
일정한	일정/ncps+하/xsm+ㄴ/etm
거리를	거리/ncn+를/jco
유지하고	유지/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
원자들	원자/ncn+들/xsn
그	그/mmd
자체가	자체/ncn+가/jcs
작은	작/paa+은/etm
우주인	우주/ncn+이/jp+ㄴ/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf
우주선	우주/ncn+선/xsn
사이의	사이/ncn+의/jcm
간격이	간격/ncn+이/jcs
줄어드는	줄어들/pvg+는/etm
것을	것/nbn+을/jco
측정하듯	측정/ncpa+하/xsv+듯/ecs
원자들	원자/ncn+들/xsn
사이의	사이/ncn+의/jcm
간격이	간격/ncn+이/jcs
줄어듦을	줄어들/pvg+ㅁ/etn+을/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이	이/mmd
말은	말/ncn+은/jxc
다시	다시/mag
말하면	말/ncpa+하/xsv+면/ecs
공간이	공간/ncn+이/jcs
줄어드는	줄어들/pvg+는/etm
비율과	비율/ncn+과/jct
똑같은	똑같/paa+은/etm
비율로	비율/ncn+로/jca
우주선도	우주/ncn+선/xsn+도/jxc
줄어듦을	줄어들/pvg+ㅁ/etn+을/jco
의미한다	의미/ncpa+하/xsv+ㄴ다/ef
.	./sf
공간은	공간/ncn+은/jxc
줄어드는데	줄어들/pvg+는데/ecs
오직	오직/mag
이것의	이것/npd+의/jcm
운동방향으로만	운동/ncn+방향/ncn+으로/jca+만/jxc
줄어든다	줄어들/pvg+ㄴ다/ef
.	./sf
이것과	이것/npd+과/jct
같은	같/paa+은/etm
효과는	효과/ncn+는/jxc
우주선	우주/ncn+선/xsn
함대를	함대/ncn+를/jco
그림으로	그림/ncn+으로/jca
그린	그리/pvg+ㄴ/etm
후	후/ncn
,	,/sp
그	그/mmd
그림을	그림/ncn+을/jco
옆으로	옆/ncn+으로/jca
비스듬히	비스듬/ncn+히/xsa
보면	보/pvg+면/ecs
그림	그림/ncn
속의	속/ncn+의/jcm
모든	모든/mma
것의	것/nbn+의/jcm
길이가	길이/ncn+가/jcs
줄어드는	줄어들/pvg+는/etm
것을	것/nbn+을/jco
보는	보/pvg+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그림	그림/ncn
자체가	자체/ncn+가/jcs
줄어든	줄어들/pvg+ㄴ/etm
것은	것/nbn+은/jxc
아니며	아니/paa+며/ecs
또한	또한/maj
그림	그림/ncn
속의	속/ncn+의/jcm
것과	것/nbn+과/jct
같은	같/paa+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그림	그림/ncn
자체가	자체/ncn+가/jcs
줄어든	줄어들/pvg+ㄴ/etm
것은	것/nbn+은/jxc
아니며	아니/paa+며/ecs
또한	또한/maj
그림	그림/ncn
속의	속/ncn+의/jcm
승무원들이	승무원/ncn+들/xsn+이/jcs
자신들의	자신/ncn+들/xsn+의/jcm
세계가	세계/ncn+가/jcs
변화된	변화/ncpa+되/xsv+ㄴ/etm
것을	것/nbn+을/jco
느끼는	느끼/pvg+는/etm
것도	것/nbn+도/jxc
아니다	아니/paa+다/ef
.	./sf
그러나	그러나/maj
당신이	당신/npp+이/jcs
그림을	그림/ncn+을/jco
삐딱하게	삐딱/ncps+하/xsm+게/ecx
볼	보/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그들은	그/npp+들/xsn+은/jxc
당신을	당신/npp+을/jco
줄어든	줄어들/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그림	그림/ncn
공간에서	공간/ncn+에서/jca
회전되었기	회전/ncpa+되/xsv+었/ep+기/etn
때문에	때문/nbn+에/jca
비스듬한	비스듬/ncps+하/xsm+ㄴ/etm
옆모습을	옆/ncn+모습/ncn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
된	되/px+ㄴ/etm
것같이	것/nbn+같이/jca
그려진	그리/pvg+어/ecx+지/px+ㄴ/etm
함대도	함대/ncn+도/jxc
회전시킨	회전/ncpa+시키/xsv+ㄴ/etm
후에는	후/ncn+에/jca+는/jxc
다른	다르/paa+ㄴ/etm
방향을	방향/ncn+을/jco
향하게	향하/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
우리가	우리/npp+가/jcs
여기서	여기/npd+서/jca
다루고	다루/pvg+고/ecx
있는	있/px+는/etm
우주함대는	우주/ncn+함대/ncn+는/jxc
운동방향을	운동/ncn+방향/ncn+을/jco
바꾸지는	바꾸/pvg+지/ecx+는/jxc
않기	않/px+기/etn
때문에	때문/nbn+에/jca
실제	실제/ncn
공간에서의	공간/ncn+에서/jca+의/jcm
회전이	회전/ncn+이/jcs
있을	있/paa+을/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
그러나	그러나/maj
회전된	회전/ncpa+되/xsv+ㄴ/etm
것처럼	것/nbn+처럼/jca
보이고	보이/pvg+고/ecs
,	,/sp
실제로	실제로/mag
회전되었지만	회전/ncpa+되/xsv+었/ep+지만/ecs
공간에서의	공간/ncn+에서/jca+의/jcm
회전은	회전/ncn+은/jxc
아니다	아니/paa+다/ef
.	./sf
이	이/mmd
점에	점/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
제5장에서	제/xp+5/nno+장/nbu+에서/jca
더욱	더욱/mag
논의하기로	논의/ncpa+하/xsv+기/etn+로/jca
하자	하/px+자/ef
.	./sf
이	이/mmd
장에서	장/ncn+에서/jca
전개된	전개/ncpa+되/xsv+ㄴ/etm
새로운	새롭/paa+ㄴ/etm
개념을	개념/ncn+을/jco
정리	정리/ncn
요약하기	요약/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
활주로	활주로/ncn
옆에서	옆/ncn+에서/jca
빠른	빠르/paa+ㄴ/etm
속력으로	속력/ncn+으로/jca
착륙하는	착륙/ncpa+하/xsv+는/etm
비행기를	비행/ncn+기/xsn+를/jco
바라보자	바라보/pvg+자/ef
.	./sf
만약에	만약/ncn+에/jca
조종사가	조종/ncn+사/xsn+가/jcs
착륙하기	착륙/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
두	두/nnc
바퀴를	바퀴/ncn+를/jco
동시에	동시/ncn+에/jca
내렸다면	내리/pvg+었/ep+다면/ecs
,	,/sp
당신은	당신/npp+은/jxc
뒷바퀴가	뒷바퀴/ncn+가/jcs
먼저	먼저/mag
내려오는	내리/pvg+어/ecx+오/px+는/etm
것을	것/nbn+을/jco
볼	보/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이어서	잇/pvg+어서/ecs
비행기의	비행/ncn+기/xsn+의/jcm
두	두/nnc
바퀴가	바퀴/ncn+가/jcs
동시에	동시/ncn+에/jca
땅에	땅/ncn+에/jca
닿는	닿/pvg+는/etm
것을	것/nbn+을/jco
당신이	당신/npp+이/jcs
바라	바라/pvg+아/ecx
본다면	보/px+ㄴ다면/ecs
조종사는	조종/ncn+사/xsn+는/jxc
비행기의	비행/ncn+기/xsn+의/jcm
두	두/nnc
바퀴가	바퀴/ncn+가/jcs
먼저	먼저/mag
땅에	땅/ncn+에/jca
닿는	닿/pvg+는/etm
것을	것/nbn+을/jco
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
당신이	당신/npp+이/jcs
비행기가	비행/ncn+기/xsn+가/jcs
수평으로	수평/ncn+으로/jca
착륙하는	착륙/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
본다면	보/pvg+ㄴ다면/ecs
조종사는	조종/ncn+사/xsn+는/jxc
비행기의	비행/ncn+기/xsn+의/jcm
앞머리가	앞/ncn+머리/ncn+가/jcs
먼저	먼저/mag
땅에	땅/ncn+에/jca
닿는	닿/pvg+는/etm
것을	것/nbn+을/jco
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
모든	모든/mma
것이	것/nbn+이/jcs
시간의	시간/ncn+의/jcm
비동시성의	비/xp+동시/ncn+성/xsn+의/jcm
결과이다	결과/ncn+이/jp+다/ef
.	./sf
당신은	당신/npp+은/jxc
우주선의	우주/ncn+선/xsn+의/jcm
길이가	길이/ncn+가/jcs
줄어드는	줄어들/pvg+는/etm
것을	것/nbn+을/jco
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
조종사도	조종/ncn+사/xsn+도/jxc
활주로가	활주로/ncn+가/jcs
줄어든	줄어들/pvg+ㄴ/etm
것을	것/nbn+을/jco
느낄	느끼/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
모든	모든/mma
사람들이	사람/ncn+들/xsn+이/jcs
자신들의	자신/ncn+들/xsn+의/jcm
고유길이를	고유/ncps+길이/ncn+를/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것이	이것/npd+이/jcs
또한	또한/maj
시간의	시간/ncn+의/jcm
비동시성의	비/xp+동시/ncn+성/xsn+의/jcm
간접적인	간접/ncn+적/xsn+이/jp+ㄴ/etm
결과인	결과/ncn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
질문	질문/ncn
먼	멀/paa+ㄴ/etm
곳의	곳/ncn+의/jcm
별을	별/ncn+을/jco
바라보자	바라보/pvg+자/ef
.	./sf
만약	만약/mag
깜빡이고	깜빡이/pvg+고/ecx
있는	있/px+는/etm
그	그/mmd
별에서	별/ncn+에서/jca
나오는	나오/pvg+는/etm
빛이	빛/ncn+이/jcs
활주로에	활주로/ncn+에/jca
수평으로	수평/ncn+으로/jca
떨어지고	떨어지/pvg+고/ecx
있다면	있/px+다면/ecs
,	,/sp
당신이	당신/npp+이/jcs
비행기를	비행/ncn+기/xsn+를/jco
몰고	몰/pvg+고/ecs
활주로를	활주로/ncn+를/jco
질주할	질주/ncpa+하/xsv+ㄹ/etm
때	때/ncn
별빛은	별빛/ncn+은/jxc
다음의	다음/ncn+의/jcm
어느	어느/mmd
경우에	경우/ncn+에/jca
해당될까	해당/ncpa+되/xsv+ㄹ까/ef
?	?/sf
a	a/f
)	)/sr
비행기의	비행/ncn+기/xsn+의/jcm
머리	머리/ncn
부분보다	부분/ncn+보다/jca
꼬리부분에	꼬리/ncn+부분/ncn+에/jca
먼저	먼저/mag
도달한다	도달/ncpa+하/xsv+ㄴ다/ef
.	./sf
b	b/f
)	)/sr
비행기의	비행/ncn+기/xsn+의/jcm
꼬리	꼬리/ncn
부분보다	부분/ncn+보다/jca
머리부분에	머리/ncn+부분/ncn+에/jca
먼저	먼저/mag
도달한다	도달/ncpa+하/xsv+ㄴ다/ef
.	./sf
c	c/f
)	)/sr
비행기의	비행/ncn+기/xsn+의/jcm
머리와	머리/ncn+와/jcj
꼬리	꼬리/ncn
부분에	부분/ncn+에/jca
동시에	동시/ncn+에/jca
도달한다	도달/ncpa+하/xsv+ㄴ다/ef
.	./sf
해답	해답/ncn
위	위/ncn
문제의	문제/ncn+의/jcm
정답은	정답/ncn+은/jxc
b번이다	b/f+번/nbu+이/jp+다/ef
.	./sf
활주로에	활주로/ncn+에/jca
서	서/pvg+어/ecx
있는	있/px+는/etm
사람이	사람/ncn+이/jcs
느끼는	느끼/pvg+는/etm
것은	것/nbn+은/jxc
비행기의	비행/ncn+기/xsn+의/jcm
머리와	머리/ncn+와/jcj
꼬리	꼬리/ncn
부분에	부분/ncn+에/jca
동시에	동시/ncn+에/jca
빛이	빛/ncn+이/jcs
떨어지는	떨어지/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
움직이는	움직이/pvg+는/etm
비행기	비행/ncn+기/xsn
안에	안/ncn+에/jca
타고	타/pvg+고/ecx
있는	있/px+는/etm
사람은	사람/ncn+은/jxc
빛이	빛/ncn+이/jcs
활주로에	활주로/ncn+에/jca
도달할	도달/ncpa+하/xsv+ㄹ/etm
때	때/ncn
,	,/sp
비행기의	비행/ncn+기/xsn+의/jcm
머리	머리/ncn
부분부터	부분/ncn+부터/jxc
도달한다고	도달/ncpa+하/xsv+ㄴ다/ef+고/ecs
느낀다	느끼/pvg+ㄴ다/ef
.	./sf
그렇기	그렇/pad+기/etn
때문에	때문/nbn+에/jca
빛이	빛/ncn+이/jcs
그림	그림/ncn
b처럼	b/f+처럼/jca
기울어져	기울/pvg+어/ecx+지/px+어/ecs
입사하기	입사/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
마치	마치/mag
머리	머리/ncn
위에는	위/ncn+에/jca+는/jxc
별이	별/ncn+이/jcs
없고	없/paa+고/ecs
약간	약간/ncn
앞쪽에	앞/ncn+쪽/nbn+에/jca
별들이	별/ncn+들/xsn+이/jcs
모여있는	모이/pvg+어/ecx+있/px+는/etm
것같이	것/nbn+같이/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
이상하죠	이상/ncps+하/xsm+지/ef+요/jxf
?	?/sf
비오는	비/ncn+오/pvg+는/etm
날	날/ncn
자전거를	자전거/ncn+를/jco
탔던	타/pvg+았/ep+던/etm
기억을	기억/ncn+을/jco
되살려	되살리/pvg+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
그	그/mmd
때	때/ncn
빗방울이	빗방울/ncn+이/jcs
똑바로	똑바로/mag
아래로만	아래/ncn+로/jca+만/jxc
떨어지던가요	떨어지/pvg+던가/ef+요/jxf
?	?/sf
마치	마치/mag
우주선이	우주/ncn+선/xsn+이/jcs
운동방향이나	운동/ncn+방향/ncn+이나/jcj
속력을	속력/ncn+을/jco
변화시키면	변화/ncpa+시키/xsv+면/ecs
우주선에	우주/ncn+선/xsn+에/jca
탄	타/pvg+ㄴ/etm
사람들은	사람/ncn+들/xsn+은/jxc
모든	모든/mma
별들의	별/ncn+들/xsn+의/jcm
위치가	위치/ncn+가/jcs
바뀌어진	바뀌/pvg+어/ecx+지/px+ㄴ/etm
것을	것/nbn+을/jco
보는	보/pvg+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
실제의	실제/ncn+의/jcm
현상들인	현상/ncn+들/xsn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
우주선이	우주/ncn+선/xsn+이/jcs
