<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
차이가	차이/ncn+가/jcs
없다	없/paa+다/ef
.	./sf
그래서	그래서/maj
명태는	명태/ncn+는/jxc
대구떼를	대구/ncn+떼/ncn+를/jco
만나면	만나/pvg+면/ecs
형님	형님/ncn
,	,/sp
아우	아우/ncn
하듯이	하/pvg+듯이/ecs
함께	함께/mag
몰려다니며	몰리/pvg+어/ecs+다니/pvg+며/ecc
놀라운식욕을	놀랍/paa+ㄴ/etm+식욕/ncn+을/jco
발휘한다	발휘/ncpa+하/xsv+ㄴ다/ef
.	./sf
그런데	그런데/maj
여기서	여기/npd+서/jca
재미있는	재미/ncps+있/xsm+는/etm
사실은	사실/ncn+은/jxc
상어새끼와	상어/ncn+새끼/ncn+와/jcj
돌자갈	돌자갈/ncn
,	,/sp
심지어는	심지어/mag+는/jxc
자기	자기/npp
새끼까지도	새끼/ncn+까지/jxc+도/jxc
잡아먹는	잡/pvg+아/ecs+먹/pvg+는/etm
대구가	대구/ncn+가/jcs
제	제/npp
덩치의절반	덩치/ncn+의/jcm+절반/ncn
밖에	밖에/jxc
되지	되/pvg+지/ecx
않는	않/px+는/etm
명태는	명태/ncn+는/jxc
잡아먹지	잡/pvg+아/ecs+먹/pvg+지/ecx
않는다는	않/px+는다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것은	이것/npd+은/jxc
아마도	아마도/mag
명태가지닌	명태/ncn+가/jcs+지니/pvg+ㄴ/etm
특유의	특유/ncps+의/jcm
독성	독성/ncn
때문으로	때문/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
명태와	명태/ncn+와/jcj
대구는	대구/ncn+는/jxc
이처럼	이/npd+처럼/jca
생김새나	생김새/ncn+나/jcj
식욕에있어서	식욕/ncn+에/jca+있/paa+어서/ecs
사촌쯤	사촌/ncn+쯤/xsn
되는	되/pvg+는/etm
관계이지만	관계/ncn+이/jp+지만/ecs
자세히	자세/ncps+히/xsa
보면	보/pvg+면/ecs
명태는	명태/ncn+는/jxc
대구보다	대구/ncn+보다/jca
몸통이	몸통/ncn+이/jcs
조금	조금/mag
작고날카로운	작/paa+고/ecc+날카롭/paa+ㄴ/etm
이가	이/ncn+가/jcs
촘촘하게	촘촘하/paa+게/ecs
나	나/pvg+아/ecs
있다	있/paa+다/ef
.	./sf
또한	또한/maj
명태는	명태/ncn+는/jxc
입을	입/ncn+을/jco
다물었을	다물/pvg+었/ep+ㄹ/etm
때	때/ncn
아랫턱이	아랫턱/ncn+이/jcs
윗턱을덮고	윗턱/ncn+을/jco+덮/pvg+고/ecc
대구는	대구/ncn+는/jxc
윗턱이	윗턱/ncn+이/jcs
아랫턱을	아랫턱/ncn+을/jco
덮는다	덮/pvg+는다/ef
.	./sf
그리고	그리고/maj
명태는	명태/ncn+는/jxc
턱	턱/ncn
아래에	아래/ncn+에/jca
짧은	짧/paa+ㄴ/etm
수염이하나	수염/ncn+이/jcs+하나/nnc
나	나/pvg+아/ecx
있다	있/px+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
특징으로	특징/ncn+으로/jca
명태와	명태/ncn+와/jcj
대구를	대구/ncn+를/jco
구분할	구분/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
명태는	명태/ncn+는/jxc
3	3/nnc
4	4/nnc
살쯤	살/nbu+쯤/xsn
되면	되/pvg+면/ecs
다	다/mag
자라서	자라/pvg+서/ecs
성어가	성어/ncn+가/jcc
되는데	되/pvg+는데/ecs
암컷이	암컷/ncn+이/jcs
수컷보다	수컷/ncn+보다/jca
크며	크/paa+며/ecc
숫자도많다	숫자/ncn+도/jxc+많/paa+다/ef
.	./sf
다	다/mag
자라면	자라/pvg+면/ecs
길이	길이/ncn
35	35/nnc
cm	cm/f
쯤	쯤/ncn
되고	되/pvg+고/ecc
수명은	수명/ncn+은/jxc
8	8/nnc
년	년/nbu
이상이라고	이상/ncn+이/jp+라고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
명태는	명태/ncn+는/jxc
회유성이	회유성/ncn+이/jcs
강한	강하/paa+ㄴ/etm
물고기로	물고기/ncn+로/jca
원산만에서	원산만/nq+에서/jca
북해도서안까지	북해도/nq+서안/ncn+까지/jca
회유하기도	회유/ncpa+하/xsv+기/etn+도/jxc
하는데	하/pvg+는데/ecs
회유속도도	회유/ncn+속도/ncn+도/jxc
매우	매우/mag
빨라	빠르/paa+아/ecs
하루	하루/ncn
10	10/nnc
마일을	마일/nbu+을/jco
회유한	회유/ncpa+하/xsv+ㄴ/etm
기록도있다	기록/ncn+도/jxc+있/paa+다/ef
.	./sf
그러나	그러나/maj
완전한	완전/ncps+하/xsm+ㄴ/etm
생활상을	생활/ncn+상/ncn+을/jco
추적하기가	추적/ncpa+하/xsv+기/etn+가/jcs
어려워	어렵/paa+어/ecs
자세한	자세/ncps+하/xsm+ㄴ/etm
생태는	생태/ncn+는/jxc
알기가	알/pvg+기/etn+가/jcs
어렵다	어렵/paa+다/ef
.	./sf
명태는	명태/ncn+는/jxc
장기간	장기간/ncn
보관을	보관/ncn+을/jco
해놓고	하/pvg+어/ecx+놓/px+고/ecc
필요할	필요/ncps+하/xsm+ㄹ/etm
때	때/ncn
먹을	먹/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
생선이다	생선/ncn+이/jp+다/ef
.	./sf
그래서	그래서/maj
잡아올린명태는	잡/pvg+아/ecs+올리/pvg+ㄴ/etm+명태/ncn+는/jxc
일단	일단/mag
건조를	건조/ncn+를/jco
시켜야	시키/pvg+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
그런데	그런데/maj
우리나라의	우리/npp+나라/ncn+의/jcm
명태	명태/ncn
말리는	말리/pvg+는/etm
방법은	방법/ncn+은/jxc
세계에자랑할	세계/ncn+에/jca+자랑/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+ㄹ/etm
정도로	정도/ncn+로/jca
과학적이다	과학/ncn+적/xsn+이/jp+다/ef
.	./sf
명태는	명태/ncn+는/jxc
주로	주로/mag
겨울철에	겨울철/ncn+에/jca
많이	많/paa+이/xsa
잡아올리는데이	잡/pvg+아/ecs+올리/pvg+는데/ecs+이/mmd
때	때/ncn
동해안에	동해안/ncn+에/jca
인접한	인접/ncpa+하/xsv+ㄴ/etm
지방에	지방/ncn+에/jca
가면	가/pvg+면/ecs
어디서든	어디/npd+서/jca+든/jxc
해안에	해안/ncn+에/jca
설치된	설치/ncpa+되/xsv+ㄴ/etm
명태	명태/ncn
건조장을구경할	건조장/ncn+을/jco+구경/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
말리는	말리/pvg+는/etm
방법은	방법/ncn+은/jxc
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
건조장에다	건조장/ncn+에다/jca
갓	갓/mag
잡아온	잡/pvg+아/ecx+오/px+ㄴ/etm
생태를	생태/ncn+를/jco
걸쳐서	걸치/pvg+어서/ecs
냉동건조시킨다	냉동/ncn+건조/ncpa+시키/xsv+ㄴ다/ef
.	./sf
그러면	그러면/maj
밤에는	밤/ncn+에/jca+는/jxc
명태	명태/ncn
세포	세포/ncn
사이에	사이/ncn+에/jca
있는	있/paa+는/etm
수분이	수분/ncn+이/jcs
얼어붙었다가	얼/pvg+어/ecx+붙/px+었/ep+다가/ecs
낮에는얼음이	낮/ncn+에/jca+는/jxc+얼음/ncn+이/jcs
녹으면서	녹/pvg+으면서/ecc
천천히	천천히/mag
건조된다	건조/ncpa+되/xsv+ㄴ다/ef
.	./sf
이처럼	이/npd+처럼/jca
밤에	밤/ncn+에/jca
얼었다가	얼/pvg+었/ep+다가/ecs
낮에	낮/ncn+에/jca
녹는	녹/pvg+는/etm
현상이	현상/ncn+이/jcs
오랫동안반복되면	오랫동안/ncn+반복/ncpa+되/xsv+면/ecs
명태살이	명태살/ncn+이/jcs
졸아들었다	졸/pvg+아/ecx+들/px+었/ep+다/ecs
부풀었다	부풀/pvg+었/ep+다/ecs
하기	하/pvg+기/etn
때문에	때문/nbn+에/jca
바짝	바짝/mag
말라도	마르/pvg+아도/ecs
겉이	겉/ncn+이/jcs
부드럽고누르스름한	부드럽/paa+고/ecc+누르스름/ncps+하/xsm+ㄴ/etm
빛을	빛/ncn+을/jco
띠게	띠/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
이렇게	이렇/pad+게/ecs
말린	말리/pvg+ㄴ/etm
명태를	명태/ncn+를/jco
황태	황태/ncn
,	,/sp
또는더덕북어라고	또는/maj+더덕북어/ncn+라고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
살이	살/ncn+이/jcs
황금빛이	황금빛/ncn+이/jcs
나고	나/pvg+고/ecc
제맛을	제/npp+맛/ncn+을/jco
내는	내/pvg+는/etm
황태를	황태/ncn+를/jco
만들기	만들/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
영하	영하/ncn
20	20/nnc
도	도/nbu
이하의	이하/ncn+의/jcm
매서운	매섭/paa+ㄴ/etm
추위와	추위/ncn+와/jcj
눈보라	눈보라/ncn
속에서	속/ncn+에서/jca
한겨울	한겨울/ncn
내내	내내/mag
명태를	명태/ncn+를/jco
잠재워야	잠재우/pvg+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
명태가	명태/ncn+가/jcs
우리	우리/npp
민족의	민족/ncn+의/jcm
식성에	식성/ncn+에/jca
맞는	맞/pvg+는/etm
물고기로	물고기/ncn+로/jca
각광을	각광/ncn+을/jco
받아온	받/pvg+아/ecx+오/px+ㄴ/etm
것은	것/nbn+은/jxc
단지	단지/mag
명태	명태/ncn
자체의영양분이나	자체/ncn+의/jcm+영양분/ncn+이나/jcj
맛	맛/ncn
때문만은	때문/nbn+만/jxc+은/jxc
아닌	아니/paa+ㄴ/etm
듯하다	듯/nbn+하/xsm+다/ef
.	./sf
한겨울의	한겨울/ncn+의/jcm
모진	모질/paa+ㄴ/etm
추위	추위/ncn
속에서	속/ncn+에서/jca
뿜어낸어부들의	뿜/pvg+어/ecx+내/px+ㄴ/etm+어부/ncn+들/xsn+의/jcm
입김이	입김/ncn+이/jcs
서리고	서리/pvg+고/ecc
서렸기	서리/pvg+었/ep+기/etn
때문에	때문/nbn+에/jca
-	-/sd
469	469/nno
-	-/sd
'	'/sl
많이	많/paa+이/xsa
먹기로는	먹/pvg+기/etn+로/jca+는/jxc
명태	명태/ncn
'	'/sr
라는	라/ef+는/etm
말이	말/ncn+이/jcs
성립되었는지도	성립/ncpa+되/xsv+었/ep+는지/ecs+도/jxc
모른다	모르/pvg+ㄴ다/ef
.	./sf
성분	성분/ncn
명태의	명태/ncn+의/jcm
주성분은	주성분/ncn+은/jxc
단백질이다	단백질/ncn+이/jp+다/ef
.	./sf
그리고함유량은	그리고/maj+함유량/ncn+은/jxc
쇠고기	쇠고기/ncn
,	,/sp
계란	계란/ncn
,	,/sp
우유와	우유/ncn+와/jct
거의	거의/mag
비슷한	비슷/ncps+하/xsm+ㄴ/etm
정도이다	정도/ncn+이/jp+다/ef
.	./sf
명태육에	명태육/ncn+에/jca
들어	들/pvg+어/ecx
있는단백질의	있/px+는/etm+단백질/ncn+의/jcm
아미노산	아미노산/ncn
조성은	조성/ncn+은/jxc
인체에	인체/ncn+에/jca
반드시	반드시/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
필수	필수/ncn
아미노산이	아미노산/ncn+이/jcs
고루	고루/mag
들어	들/pvg+어/ecx
있어질적으로	있/px+어/ecs+질/ncn+적/xsn
매우	매우/mag
우수하다	우수/ncps+하/xsm+다/ef
.	./sf
또한	또한/maj
명태육에	명태육/ncn+에/jca
들어	들/pvg+어/ecx
있는	있/px+는/etm
지방의	지방/ncn+의/jcm
함량은적지만	함량/ncn+은/jxc+적/paa+지만/ecs
간장에는	간장/ncn+에/jca+는/jxc
지방을	지방/ncn+을/jco
많이	많/paa+이/xsa
축적하고	축적/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
창란젓과	창란젓/ncn+과/jcj
명란젓도	명란젓/ncn+도/jxc
영양가가	영양가/ncn+가/jcs
대단히	대단/ncps+히/xsa
높다	높/paa+다/ef
.	./sf
우선	우선/mag
지방의	지방/ncn+의/jcm
함량을	함량/ncn+을/jco
보면	보/pvg+면/ecs
명란젓은	명란젓/ncn+은/jxc
3	3/nnc
.	./sf
2	2/nnc
%,	%/su+,/sp
창란젓은	창란젓/ncn+은/jxc
3	3/nnc
.	./sf
6	6/nnc
%	%/su
로	로/jca
두	두/nnc
가지	가지/nbu
다	다/mag
팔미트산	팔미트산/ncn
,	,/sp
올레산	올레산/ncn
,	,/sp
EPA	EPA/f
,	,/sp
DHA	DHA/f
의	의/jcm
조성비가	조성비/ncn+가/jcs
높은	높/paa+ㄴ/etm
영양식품이다	영양/ncn+식품/ncn+이/jp+다/ef
.	./sf
특히	특히/mag
명태의	명태/ncn+의/jcm
간에는	간/ncn+에/jca+는/jxc
지질	지질/ncn
함량이	함량/ncn+이/jcs
많아	많/paa+아/ecs
46	46/nnc
.	./sf
2	2/nnc
%	%/su
에	에/jca
이르며	이르/pvg+며/ecc
이들의	이/npd+들/xsn+의/jcm
지방산	지방산/ncn
조성은포화산으로는	조성은포화산/ncn+으로/jca+는/jxc
팔미트산	팔미트산/ncn
,	,/sp
불포화산으로는	불포화산/ncn+으로/jca+는/jxc
EPA	EPA/f
,	,/sp
DHA	DHA/f
의	의/jcm
함량이	함량/ncn+이/jcs
많아	많/paa+아/ecs
건강식품으로권장할	건강/ncps+식품/ncn+으로/jca+권장/ncpa+하/xsv+ㄹ/etm
만하다	만/nbn+하/xsm+다/ef
.	./sf
쓰임새	쓰임새/ncn
명태는	명태/ncn+는/jxc
하나도	하나/nnc+도/jxc
버릴	버리/pvg+ㄹ/etm
것이	것/nbn+이/jcs
없이	없/paa+이/xsa
모두	모두/mag
먹을	먹/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
생선이다	생선/ncn+이/jp+다/ef
.	./sf
살은	살/ncn+은/jxc
국이나찌개를	국/ncn+이나/jcj+찌개/ncn+를/jco
끓이고	끓이/pvg+고/ecc
,	,/sp
내장은	내장/ncn+은/jxc
창란젓을	창란젓/ncn+을/jco
,	,/sp
귀세미로는	귀세미/ncn+로/jca+는/jxc
귀세미젓을	귀세미젓/ncn+을/jco
,	,/sp
알은	알/ncn+은/jxc
명란젓을담가	명란젓/ncn+을/jco+담그/pvg+아/ecs
먹으며	먹/pvg+으며/ecc
눈알은	눈알/ncn+은/jxc
구워서	굽/pvg+어서/ecs
술안주로	술/ncn+안주/ncn+로/jca
먹는다	먹/pvg+는다/ef
.	./sf
고니는	고니/ncn+는/jxc
그대로	그대로/mag
빼내어	빼/pvg+어/ecx+내/px+어/ecs
국을끓이고	국/ncn+을/jco+끓이/pvg+고/ecc
생살을	생살/ncn+을/jco
짓이겨서	짓이기/pvg+어서/ecs
어묵을	어묵/ncn+을/jco
만들기도	만들/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
피문어와	피문어/ncn+와/jcj
홍합과	홍합/ncn+과/jcj
파를	파/ncn+를/jco
함께	함께/mag
넣어서	넣/pvg+어서/ecs
'	'/sl
건곰	건곰/ncn
'	'/sr
이라는	이/jp+라는/etm
국을	국/ncn+을/jco
끓이는데	끓이/pvg+는데/ecs
이것은노인이나	이것/npd+은/jxc+노인/ncn+이나/jcj
병후의	병후/ncn+의/jcm
환자들에게	환자/ncn+들/xsn+에게/jca
좋은	좋/paa+ㄴ/etm
보신음식이기도	보신/ncn+음식/ncn+이/jp+기/etn+도/jxc
했다	하/pvg+었/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
우리나라	우리/npp+나라/ncn
동해안의	동해안/ncn+의/jcm
명태는	명태/ncn+는/jxc
각종	각종/ncn
독에	독/ncn+에/jca
중독되었을	중독/ncpa+되/xsv+었/ep+ㄹ/etm
때	때/ncn
최고의	최고/ncn+의/jcm
해독제이기도하다	해독제/ncn+이/jp+기/etn+도/jxc+하/pvg+다/ef
.	./sf
날로	날/ncn+로/jca
늘어가는	늘/pvg+어/ecx+가/px+는/etm
농약중독	농약/ncn+중독/ncn
,	,/sp
공해독	공해독/ncn
,	,/sp
연탄가스	연탄/ncn+가스/ncn
중독	중독/ncn
,	,/sp
독사에	독사/ncn+에/jca
물렸을	물리/pvg+었/ep+ㄹ/etm
때	때/ncn
,	,/sp
미친개에게	미치/pvg+ㄴ/etm+개/ncn+에게/jca
물렸을	물리/pvg+었/ep+ㄹ/etm
때	때/ncn
등	등/nbn
어디든	어디/npd+든/jxc
닿지	닿/pvg+지/ecx
않는	않/px+는/etm
곳이	곳/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
명태의	명태/ncn+의/jcm
약성을	약성/ncn+을/jco
이와	이/npd+와/jct
같이	같/paa+이/xsa
새롭게	새롭/paa+게/ecs
소개한	소개/ncpa+하/xsv+ㄴ/etm
{	{/sl
신약	신약/nq
(	(/sl
神藥	神藥/nq
)}	)/sr+}/sr
에	에/jca
의하면	의하/pvg+면/ecs
명태는	명태/ncn+는/jxc
독사에물려	독사/ncn+에/jca+물리/pvg+어/ecs
죽어가는	죽/pvg+어/ecx+가/px+는/etm
사람을	사람/ncn+을/jco
살릴	살리/pvg+ㄹ/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
,	,/sp
연탄가스에	연탄/ncn+가스/ncn+에/jca
중독되거나	중독/ncn+되/xsv+거나/ecc
그	그/mmd
후유증으로정신이상에	후유증/ncn+으로/jca+정신/ncn+이상/ncps+에/jca
걸린	걸리/pvg+ㄴ/etm
사람도	사람/ncn+도/jxc
깨끗이	깨끗/ncps+이/xsa
치료한다	치료/ncpa+하/xsv+ㄴ다/ef
.	./sf
그리고	그리고/maj
독사나	독사/ncn+나/jcj
미친개에게	미치/pvg+ㄴ/etm+개/ncn+에게/jca
물렸을	물리/pvg+었/ep+ㄹ/etm
때	때/ncn
,	,/sp
핵독이나	핵독/ncn+이나/jcj
각종	각종/ncn
공해독에	공해독/ncn+에/jca
신비한	신비/ncps+하/xsm+ㄴ/etm
약이라고	약/ncn+이/jp+라고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
예로부터	예/ncn+로/jca+부터/jxc
민간에서는	민간/ncn+에서/jca+는/jxc
명태가	명태/ncn+가/jcs
눈병에좋다고	눈/ncn+병/ncn+에/jca+좋/paa+다고/ecs
믿었다	믿/pvg+었/ep+다/ef
.	./sf
그리고	그리고/maj
이같은	이/npd+같/paa+ㄴ/etm
효능이	효능/ncn+이/jcs
사실로	사실/ncn+로/jca
입증된	입증/ncpa+되/xsv+ㄴ/etm
사례도	사례/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
옛날에	옛날/ncn+에/jca
함경북도	함경북도/nq
삼수갑산	삼수갑산/ncn
같은	같/paa+ㄴ/etm
오지에	오지/ncn+에/jca
사는	살/pvg+는/etm
사람들은	사람/ncn+들/xsn+은/jxc
눈이	눈/ncn+이/jcs
잘	잘/mag
보이지	보이/pvg+지/ecx
않은풍토병이	않/px+ㄴ/etm+풍토병/ncn+이/jcs
많았다	많/paa+았/ep+다/ef
한다	하/pvg+ㄴ다/ef
.	./sf
이	이/mmd
풍토병에	풍토병/ncn+에/jca
걸린	걸리/pvg+ㄴ/etm
사람들은	사람/ncn+들/xsn+은/jxc
겨울	겨울/ncn
동안	동안/ncn
가까운	가깝/paa+ㄴ/etm
해변이나어촌으로	해변/ncn+이나/jcj+어촌/ncn+으로/jca
내려가	내리/pvg+어/ecx+가/px+아/ecs
머물면서	머물/pvg+면서/ecc
명태	명태/ncn
창자	창자/ncn
속에	속/ncn+에/jca
들어있는	들/pvg+어/ecx+있/px+는/etm
간유를	간유/ncn+를/jco
빼먹어	빼/pvg+어/ecs+먹/pvg+어/ecs
병을	병/ncn+을/jco
고쳤다는기록이	고치/pvg+었/ep+다/ef+는/etm+기록/ncn+이/jcs
전해	전하/pvg+어/ecx
온다	오/px+ㄴ다/ef
.	./sf
이것이	이것/npd+이/jcs
토종	토종/ncn
요즈음	요즈음/ncn
우리나라	우리/npp+나라/ncn
동해안에서는	동해안/ncn+에서/jca+는/jxc
명태가	명태/ncn+가/jcs
별로	별로/mag
잡히지	잡히/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
주로	주로/mag
먼	멀/paa+ㄴ/etm
북양에서잡아오는	북양/ncn+에서/jca+잡/pvg+아/ecx+오/px+는/etm
명태가	명태/ncn+가/jcs
대부분이다	대부분/ncn+이/jp+다/ef
.	./sf
이런	이런/mmd
명태는	명태/ncn+는/jxc
덩치는	덩치/ncn+는/jxc
크지만	크/paa+지만/ecs
오랫동안	오랫동안/ncn
물속에	물/ncn+속/ncn+에/jca
담가오므로	담가/pvg+아/ecx+오/px+므로/ecs
살속의	살속/ncn+의/jcm
간맛이	간맛/ncn+이/jcs
모두	모두/mag
빠져버려싱겁고	빠지/pvg+어/ecx+버리/px+고/ecc+싱겁/pvg+고/ecc
퍼석퍼석해서	퍼석퍼석/mag+하/xsm+어서/ecs
별로	별로/mag
맛이	맛/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
반대로	반대/ncn+로/jca
동해안에서	동해안/ncn+에서/jca
잡은	잡/pvg+ㄴ/etm
명태는	명태/ncn+는/jxc
크기는작아도	크기/ncn+는/jxc+작/paa+아도/ecs
짭짤하고	짭짤/ncps+하/xsm+고/ecc
구수한	구수/ncps+하/xsm+ㄴ/etm
맛이	맛/ncn+이/jcs
나는	나/pvg+는/etm
데다	데/nbn+다/jca
양념을	양념/ncn+을/jco
잘	잘/mag
흡수하므로	흡수/ncpa+하/xsv+므로/ecs
가장	가장/mag
질	질/ncn
좋은것으로	좋/paa+ㄴ/etm+것/nbn+으로/jca
친다	치/pvg+ㄴ다/ef
.	./sf
우리나라	우리/npp+나라/ncn
동해안에서	동해안/ncn+에서/jca
잡은	잡/pvg+ㄴ/etm
명태를	명태/ncn+를/jco
'	'/sl
지방태	지방태/ncn
'	'/sr
라고	라고/ecs
하여	하/pvg+어/ecs
으뜸으로	으뜸/ncn+으로/jca
치는것이다	치/pvg+는/etm+것/nbn+이/jp+다/ef
.	./sf
이런	이런/mmd
토종	토종/ncn
명태가	명태/ncn+가/jcs
점차	점차/mag
자취를	자취/ncn+를/jco
감추고있는	감추/pvg+고/ecx+있/px+는/etm
이유는	이유/ncn+는/jxc
최근	최근/ncn
동해안의	동해안/ncn+의/jcm
수온이	수온/ncn+이/jcs
높아졌기	높/paa+아/ecx+지/px+었/ep+기/etn
때문이라고	때문/nbn+이/jp+라고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
예를	예/ncn+를/jco
들면명태가	들/pvg+면/ecs+명태/ncn+가/jcs
가장	가장/mag
많이	많/paa+이/xsa
잡히기로	잡히/pvg+기/etn+로/jca
유명한	유명/ncps+하/xsm+ㄴ/etm
고성군	고성군/nq
거진	거진/nq
부근의	부근/ncn+의/jcm
평균	평균/ncn
수온이	수온/ncn+이/jcs
최근	최근/ncn
10	10/nnc
oC	oC/f
를옷돌아	를/jco+옷돌/pvg+아/ecs
명태가	명태/ncn+가/jcs
살기에는	살기/ncn+에/jca+는/jxc
너무	너무/mag
따뜻하다는	따뜻/ncps+하/xsm+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
이유는	이유/ncn+는/jxc
이것	이것/npd
뿐만이아니다	뿐/nbn+만/jxc+이/jcc+아니/paa+다/ef
.	./sf
70	70/nno
년대	년대/nbu
이후	이후/ncn
성행한	성행/ncpa+하/xsv+ㄴ/etm
저인망	저인망/ncn
어선이	어선/ncn+이/jcs
명태새끼인	명태/ncn+새끼/ncn+이/jp+ㄴ/etm
노가리까지	노가리/ncn+까지/jxc
훑어내	훑/pvg+어/ecx+내/px+어/ecs
자원이	자원/ncn+이/jcs
고갈된	고갈/ncpa+되/xsv+ㄴ/etm
것도	것/nbn+도/jxc
중요한	중요/ncps+하/xsm+ㄴ/etm
이유이다	이유/ncn+이/jp+다/ef
.	./sf
***	*/sy+*/sy+*/sy
참고자료	참고/ncn+자료/ncn
1	1/nno
.	./sf
최진규	최진규/nq
,	,/sp
최운림	최운림/nq
[	[/sl
토종의	nq[토종/ncn+의/jcm
재발견	재/xp+발견/ncn]nq
]	]/sr
월간	월간/ncn
[	[/sl
시사춘추	nq[시사/ncn+춘추/ncn]nq
]	]/sr
2	2/nno
.	./sf
월간	월간/ncn
{	{/sl
민의약	민의약/nq
}	}/sr
90	90/nno
.	./sf
2	2/nno
월호	월호/nbu
39	39/nno
.	./sf
김	김/ncn
식욕	식욕/ncn
돋구는	돋구/pvg+는/etm
장수식품	장수/ncn+식품/ncn
우리의	우리/npp+의/jcm
주식은	주식/ncn+은/jxc
쌀로	쌀/ncn+로/jca
지은	짓/pvg+ㄴ/etm
밥이다	밥/ncn+이/jp+다/ef
.	./sf
그리고	그리고/maj
이	이/mmd
밥을	밥/ncn+을/jco
먹을	먹/pvg+ㄹ/etm
때는	때/ncn+는/jxc
국을	국/ncn+을/jco
비롯하여여러가지	비롯/ncps+하/xsm+여/ecs+여러/mmd+가지/nbu
반찬이	반찬/ncn+이/jcs
곁들여진다	곁들이/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
그래서	그래서/maj
우리의	우리/npp+의/jcm
전통적인	전통/ncn+적/xsn+이/jp+ㄴ/etm
밥상에는	밥상/ncn+에/jca+는/jxc
기본메뉴라	기본/ncn+메뉴/ncn+라/jca
할수	하/pvg+ㄹ/etm+수/nbn
있는	있/paa+는/etm
김치를	김치/ncn+를/jco
비롯하여	비롯/ncps+하/xsm+어/ecs
각종	각종/ncn
나물	나물/ncn
,	,/sp
생선	생선/ncn
,	,/sp
육류	육류/ncn
등이	등/nbn+이/jcs
지역적	지역/ncn+적/xsn
특성과	특성/ncn+과/jcj
풍토에	풍토/ncn+에/jca
따라	따르/pvg+아/ecs
오르게	오르/pvg+게/ecs
마련이다	마련/nbn+이/jp+다/ef
.	./sf
우리나라방방곡곡에서	우리/npp+나라/ncn+방방곡곡/ncn+에서/jca
밥과	밥/ncn+과/jct
함께	함께/mag
곁들여	곁들이/pvg+어/ecs
먹는	먹/pvg+는/etm
반찬의	반찬/ncn+의/jcm
가짓수는	가짓수/ncn+는/jxc
사람	사람/ncn
수	수/nbn
만큼이나	만큼/nbn+이나/jxc
많을것이다	많/paa+ㄹ/etm+것/nbn+이/jp+다/ef
.	./sf
그런데	그런데/maj
,	,/sp
이처럼	이/npd+처럼/jca
헤아릴	헤아리/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+ㄹ/etm
정도로많은	정도/ncn+로/jca+많/paa+ㄴ/etm
반찬	반찬/ncn
중에서	중/ncn+에서/jca
김처럼	김/ncn+처럼/jca
밥맛과	밥맛/ncn+과/jcj
절묘한	절묘/ncps+하/xsm+ㄴ/etm
조화를	조화/ncn+를/jco
이루는	이루/pvg+는/etm
것도	것/nbn+도/jxc
없다	없/paa+다/ef
.	./sf
그래서밥집이나	그래서/maj+밥집/ncn+이나/jcj
여염집	여염집/ncn
