<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
청와대에서	청와대/nq+에서/jca
만나	만나/pvg+아/ecs
경제	경제/ncn
난국	난국/ncn
해소	해소/ncn
방안을	방안/ncn+을/jco
논의합니다.	논의/ncpa+하/xsv+ㅂ니다/ef+./sf
그나마	그나마/mag
국민을	국민/ncn+을/jco
안심시킬	안심/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
결과가	결과/ncn+가/jcs
나올지	나오/pvg+ㄹ지/ecs
최명길	최명길/nq
기자가	기자/ncn+가/jcs
전해드립니다.	전하/pvg+어/ecx+드리/px+ㅂ니다/ef+./sf
대통령	대통령/ncn
선거	선거/ncn
열풍	열풍/ncn
속에	속/ncn+에/jca
표류하는	표류/ncpa+하/xsv+는/etm
경제를	경제/ncn+를/jco
살리기	살리/pvg+기/etn
위해	위하/pvg+어/ecs
대통령과	대통령/ncn+과/jcj
3당	3/nnc+당/ncn
대선후보,	대선/ncn+후보/ncn+,/sp
그리고	그리고/maj
각당	각당/ncn
대표	대표/ncn
등	등/nbn
7인이	7/nnc+인/nbu+이/jcs
머리를	머리/ncn+를/jco
맞댑니다.	맞대/pvg+ㅂ니다/ef+./sf
당면한	당면/ncpa+하/xsv+ㄴ/etm
경제적	경제/ncn+적/xsn
어려움을	어려움/ncn+을/jco
극복하기	극복/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
지혜를	지혜/ncn+를/jco
모으기	모으/pvg+기/etn
위해	위하/pvg+어/ecs
내일	내일/ncn
저녁	저녁/ncn
7시	7/nno+시/nbu
30분	30/nno+분/nbu
청와대에서	청와대/nq+에서/jca
3당	3/nnc+당/ncn
대통령	대통령/ncn
후보를	후보/ncn+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
정당	정당/ncn
지도자를	지도/ncn+자/xsn+를/jco
초청하여	초청/ncpa+하/xsv+어/ecs
만찬	만찬/ncn
간담회를	간담/ncn+회/xsn+를/jco
가질	가지/pvg+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
청와대	청와대/nq
회동에는	회동/ncn+에/jca+는/jxc
내일	내일/ncn
전당대회를	전당/ncn+대회/ncn+를/jco
열어	열/pvg+어/ecs
출범하는	출범/ncpa+하/xsv+는/etm
한나라당의	한나라당/nq+의/jcm
이회창	이회창/nq
후보,	후보/ncn+,/sp
조순	조순/nq
총재,	총재/ncn+,/sp
DJT	DJT/f
진영에서	진영/ncn+에서/jca
김대중	김대중/nq
후보와	후보/ncn+와/jcj
내일	내일/ncn
자민련	자민련/nq
총재로	총재/ncn+로/jca
선출되는	선출/ncpa+되/xsv+는/etm
박태준	박태준/nq
의원,	의원/ncn+,/sp
그리고	그리고/maj
국민신당의	국민신당/nq+의/jcm
이인제	이인제/nq
후보와	후보/ncn+와/jcj
이만섭	이만섭/nq
총재가	총재/ncn+가/jcs
초청되었습니다.	초청/ncpa+되/xsv+었/ep+습니다/ef+./sf
김	김/nq
대통령은	대통령/ncn+은/jxc
각당	각당/ncn
대표들에게	대표/ncn+들/xsn+에게/jca
경제	경제/ncn
난국	난국/ncn
극복을	극복/ncn+을/jco
위한	위하/pvg+ㄴ/etm
정치권의	정치/ncn+권/xsn+의/jcm
초당적인	초당/ncn+적/xsn+이/jp+ㄴ/etm
협조를	협조/ncn+를/jco
부탁하고	부탁/ncpa+하/xsv+고/ecc
금융개혁	금융/ncn+개혁/ncn
법안의	법안/ncn+의/jcm
회기내	회기/ncn+내/nbn
처리를	처리/ncn+를/jco
요청할	요청/ncpa+하/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
김	김/nq
대통령은	대통령/ncn+은/jxc
또,	또/mag+,/sp
아시아	아시아/nq
금융시장	금융/ncn+시장/ncn
안정	안정/ncn
대책이	대책/ncn+이/jcs
중점	중점/ncn
논의될	논의/ncpa+되/xsv+ㄹ/etm
이번	이/mmd+번/nbn
APEC	APEC/f
정상	정상/ncn
회의에	회의/ncn+에/jca
임하는	임하/pvg+는/etm
우리	우리/npp
정부의	정부/ncn+의/jcm
입장을	입장/ncn+을/jco
설명합니다.	설명/ncpa+하/xsv+ㅂ니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
최명길입니다.	최명길/nq+이/jp+ㅂ니다/ef+./sf
최근	최근/mag
이회창	이회창/nq
후보의	후보/ncn+의/jcm
지지율	지지/ncn+율/xsn
상승에	상승/ncn+에/jca
고무된	고무/ncpa+되/xsv+ㄴ/etm
한나라당은	한나라당/nq+은/jxc
오늘	오늘/ncn
후원회	후원/ncn+회/xsn
행사와	행사/ncn+와/jcj
대선	대선/ncn
출정식을	출정/ncn+식/xsn+을/jco
잇따라	잇따르/pvg+아/ecs
갖고	갖/pvg+고/ecc
필승을	필승/ncn+을/jco
다짐했습니다.	다짐/ncpa+하/xsv+었/ep+습니다/ef+./sf
문호철	문호철/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
후보	후보/ncn
등록일을	등록/ncn+일/ncn+을/jco
하루	하루/mag
앞두고	앞/ncn+두/pvg+고/ecc
한나라당은	한나라당/nq+은/jxc
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
대선	대선/ncn
대비를	대비/ncn+를/jco
마쳤습니다.	마치/pvg+었/ep+습니다/ef+./sf
한나라당은	한나라당/nq+은/jxc
오늘	오늘/ncn
후원금	후원/ncn+금/xsn
모금	모금/ncn
행사와	행사/ncn+와/jcj
대규모	대/xp+규모/ncn
대선	대선/ncn
출정식을	출정/ncn+식/xsn+을/jco
잇따라	잇따르/pvg+아/ecs
열고	열/pvg+고/ecc
필승을	필승/ncn+을/jco
다짐했습니다.	다짐/ncpa+하/xsv+었/ep+습니다/ef+./sf
지지율	지지/ncn+율/xsn
상승에	상승/ncn+에/jca
힘입어	힘/ncn+입/pvg+어/ecs
열기가	열기/ncn+가/jcs
더해진	더/mag+하/pvg+어/ecx+지/px+ㄴ/etm
오늘	오늘/ncn
대회에서	대회/ncn+에서/jca
이	이/nq
후보는	후보/ncn+는/jxc
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
대선전을	대선/ncn+전/xsn+을/jco
선포했습니다.	선포/ncpa+하/xsv+었/ep+습니다/ef+./sf
저는	저/npp+는/jxc
확신을	확신/ncn+을/jco
갖고	갖/pvg+고/ecc
여러분에게	여러분/npp+에게/jca
말씀드립니다.	말씀/ncn+드리/pvg+ㅂ니다/ef+./sf
이번	이/mmd+번/nbn
선거는	선거/ncn+는/jxc
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
정치와	정치/ncn+와/jcj
병든	병들/pvg+ㄴ/etm
정치의	정치/ncn+의/jcm
대결이	대결/ncn+이/jcc
될	되/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
이	이/nq
후보는	후보/ncn+는/jxc
오전에는	오전/ncn+에/jca+는/jxc
과소비	과/xp+소비/ncn
추방과	추방/ncn+과/jcj
외화	외화/ncn
절약을	절약/ncn+을/jco
촉구하는	촉구/ncpa+하/xsv+는/etm
가두	가두/ncn
캠페인을	캠페인/ncn+을/jco
벌이고,	벌이/pvg+고/ecc+,/sp
차량용	차량/ncn+용/xsn
홍보	홍보/ncn
스티커를	스티커/ncn+를/jco
부착했습니다.	부착/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/nq
후보는	후보/ncn+는/jxc
한국교회	한국교회/nq
신임	신임/ncn
교단장	교단/ncn+장/xsn
초청	초청/ncn
오찬	오찬/ncn
간담회와	간담/ncn+회/xsn+와/jcj
학원	nq[학원/ncn
총연합회	총/mma+연합/ncn+회/xsn]nq
전국	전국/ncn
대회에도	대회/ncn+에/jca+도/jxc
잇따라	잇따르/pvg+아/ecs
참석하는	참석/ncpa+하/xsv+는/etm
등	등/nbn
분주한	분주/ncps+하/xsm+ㄴ/etm
하루를	하루/ncn+를/jco
보냈습니다.	보내/pvg+었/ep+습니다/ef+./sf
조순	조순/nq
총재는	총재/ncn+는/jxc
오늘	오늘/ncn
처음으로	처음/ncn+으로/jca
고위	고위/ncn
대책	대책/ncn
회의를	회의/ncn+를/jco
주재하는	주재/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
총재로서의	총재/ncn+로서/jca+의/jcm
첫	첫/mma
공식	공식/ncn
당무를	당무/ncn+를/jco
시작하고	시작/ncpa+하/xsv+고/ecc
범여권의	범/xp+여권/ncn+의/jcm
결속을	결속/ncn+을/jco
당부했습니다.	당부/ncpa+하/xsv+었/ep+습니다/ef+./sf
한나라당에는	한나라당/nq+에/jca+는/jxc
오늘도	오늘/ncn+도/jxc
입당	입당/ncn
행렬이	행렬/ncn+이/jcs
이어졌습니다.	잇/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
평민당	평민당/nq
출신	출신/ncn
홍기훈,	홍기훈/nq+,/sp
양성우	양성우/nq
전	전/mma
의원	의원/ncn
등	등/nbn
전직	전직/ncn
의원	의원/ncn
세	세/nnc
명이	명/nbu+이/jcs
입당한	입당/ncpa+하/xsv+ㄴ/etm
데	데/nbn
이어,	이어/mag+,/sp
이회선	이회선/nq
부산	부산/nq
시장과	시장/ncn+과/jcj
홍남용	홍남용/nq
의정부	의정부/nq
시장	시장/ncn
등	등/nbn
경기	경기/nq
지역	지역/ncn
현직	현직/ncn
시장	시장/ncn
네	네/nnc
명도	명/nbu+도/jxc
오늘	오늘/ncn
공식	공식/ncn
입당했습니다.	입당/ncpa+하/xsv+었/ep+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
문호철입니다.	문호철/nq+이/jp+ㅂ니다/ef+./sf
최근	최근/mag
이회창	이회창/nq
후보의	후보/ncn+의/jcm
지지율	지지/ncn+율/xsn
상승에	상승/ncn+에/jca
고무된	고무/ncpa+되/xsv+ㄴ/etm
한나라당은	한나라당/nq+은/jxc
오늘	오늘/ncn
후원회	후원/ncn+회/xsn
행사와	행사/ncn+와/jcj
대선	대선/ncn
출정식을	출정/ncn+식/xsn+을/jco
잇따라	잇따르/pvg+아/ecs
갖고	갖/pvg+고/ecc
필승을	필승/ncn+을/jco
다짐했습니다.	다짐/ncpa+하/xsv+었/ep+습니다/ef+./sf
문호철	문호철/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
후보	후보/ncn
등록일을	등록/ncn+일/ncn+을/jco
하루	하루/mag
앞두고	앞/ncn+두/pvg+고/ecc
한나라당은	한나라당/nq+은/jxc
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
대선	대선/ncn
대비를	대비/ncn+를/jco
마쳤습니다.	마치/pvg+었/ep+습니다/ef+./sf
한나라당은	한나라당/nq+은/jxc
오늘	오늘/ncn
후원금	후원/ncn+금/xsn
모금	모금/ncn
행사와	행사/ncn+와/jcj
대규모	대/xp+규모/ncn
대선	대선/ncn
출정식을	출정/ncn+식/xsn+을/jco
잇따라	잇따르/pvg+아/ecs
열고	열/pvg+고/ecc
필승을	필승/ncn+을/jco
다짐했습니다.	다짐/ncpa+하/xsv+었/ep+습니다/ef+./sf
지지율	지지/ncn+율/ㅌㄴ
상승에	상승/ncn+에/jca
힘입어	힘/ncn+입/pvg+어/ecs
열기가	열기/ncn+가/jcs
더해진	더/mag+하/pvg+어/ecx+지/px+ㄴ/etm
오늘	오늘/ncn
대회에서	대회/ncn+에서/jca
이	이/nq
후보는	후보/ncn+는/jxc
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
대선전을	대선/ncn+전/xsn+을/jco
선포했습니다.	선포/ncpa+하/xsv+었/ep+습니다/ef+./sf
저는	저/npp+는/jxc
확신을	확신/ncn+을/jco
갖고	갖/pvg+고/ecc
여러분에게	여러분/npp+에게/jca
말씀드립니다.	말씀/ncn+드리/pvg+ㅂ니다/ef+./sf
이번	이/mmd+번/nbn
선거는	선거/ncn+는/jxc
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
정치와	정치/ncn+와/jcj
병든	병들/pvg+ㄴ/etm
정치의	정치/ncn+의/jcm
대결이	대결/ncn+이/jcc
될	되/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
이	이/nq
후보는	후보/ncn+는/jxc
오전에는	오전/ncn+에/jca+는/jxc
과소비	과/xp+소비/ncn
추방과	추방/ncn+과/jcj
외화	외화/ncn
절약을	절약/ncn+을/jco
촉구하는	촉구/ncpa+하/xsv+는/etm
가두	가두/ncn
캠페인을	캠페인/ncn+을/jco
벌이고,	벌이/pvg+고/ecc+,/sp
차량용	차량/ncn+용/xsn
홍보	홍보/ncn
스티커를	스티커/ncn+를/jco
부착했습니다.	부착/ncpa+하/xsv+었/ep+습니다/ef+./sf
한국교회	한국교회/nq
신임	신임/ncn
교단장	교단/ncn+장/xsn
초청	초청/ncn
오찬	오찬/ncn
간담회와	간담/ncn+회/xsn+와/jcj
학원	nq[학원/ncn
총연합회	총/xp+연합/ncn+회/xsn]nq
전국	전국/ncn
대회에도	대회/ncn+에/jca+도/jxc
잇따라	잇따르/pvg+아/ecs
참석하는	참석/ncpa+하/xsv+는/etm
등	등/nbn
분주한	분주/ncps+하/xsm+ㄴ/etm
하루를	하루/ncn+를/jco
보냈습니다.	보내/pvg+었/ep+습니다/ef+./sf
조순	조순/nq
총재는	총재/ncn+는/jxc
오늘	오늘/ncn
처음으로	처음/ncn+으로/jca
고위	고위/ncn
대책	대책/ncn
회의를	회의/ncn+를/jco
주재하는	주재/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
총재로서의	총재/ncn+로서/jca+의/jcm
첫	첫/mma
공식	공식/ncn
당무를	당무/ncn+를/jco
시작하고	시작/ncpa+하/xsv+고/ecc
범여권의	범/xp+여권/ncn+의/jcm
결속을	결속/ncn+을/jco
당부했습니다.	당부/ncpa+하/xsv+었/ep+습니다/ef+./sf
한나라당에는	한나라당/nq+에/jca+는/jxc
오늘도	오늘/ncn+도/jxc
입당	입당/ncn
행렬이	행렬/ncn+이/jcs
이어졌습니다.	잇/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
평민당	평민당/nq
출신	출신/ncn
홍기훈,	홍기훈/nq+,/sp
양성우	양성우/nq
전	전/ncn
의원	의원/ncn
등	등/nbn
전직	전직/ncn
의원	의원/ncn
세	세/nnc
명이	명/nbu+이/jcs
입당한	입당/ncpa+하/xsv+ㄴ/etm
데	데/nbn
이어,	이어/mag+,/sp
이회선	이회선/nq
부산	부산/nq
시장과	시장/ncn+과/jcj
홍남용	홍남용/nq
의정부	의정부/nq
시장	시장/ncn
등	등/nbn
경기	경기/nq
지역	지역/ncn
현직	현직/ncn
시장	시장/ncn
네	네/nnc
명도	명/nbu+도/jxc
오늘	오늘/ncn
공식	공식/ncn
입당했습니다.	입당/ncpa+하/xsv+었/ep+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
문호철입니다.	문호철/nq+이/jp+ㅂ니다/ef+./sf
이렇게	이렇/pad+게/ecs
대량	대량/ncn
실업	실업/ncn
사태가	사태/ncn+가/jcs
닥쳐오고	닥치/pvg+어/ecx+오/px+고/ecx
있는	있/px+는/etm
한편에서는	한편/ncn+에서/jca+는/jxc
금융	금융/ncn
시장의	시장/ncn+의/jcm
혼미가	혼미/ncn+가/jcs
계속되고	계속/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
주가는	주가/ncn+는/jxc
연	연/mma
4회째	4/nnc+회/nbu+째/xsn
폭락했고,	폭락/ncpa+하/xsv+었/ep+고/ecc+,/sp
금리는	금리/ncn+는/jxc
계속	계속/mag
치솟고	치솟/pvg+고/ecx
있습니다	있/px+습니다/ef
이혜승	이혜승/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
정부의	정부/ncn+의/jcm
IMF	IMF/f
자금	자금/ncn
신청으로	신청/ncn+으로/jca
통화	통화/ncn
긴축과	긴축/ncn+과/jcj
부실	부실/ncn
기업	기업/ncn
부도가	부도/ncn+가/jcs
예상되면서	예상/ncpa+되/xsv+면서/ecc
시중	시중/ncn
자금난이	자금/ncn+난/xsn+이/jcs
더욱	더욱/mag
심해졌습니다.	심하/paa+어/ecx+지/px+었/ep+습니다/ef+./sf
오늘	오늘/ncn
시중	시중/ncn
금리	금리/ncn
가운데	가운데/ncn
중기	중기/ncn
금리인	금리/ncn+이/jp+ㄴ/etm
90일	90/nnc+일/nbu
만기	만기/ncn
기업	기업/ncn
어음	어음/ncn
CP의	CP/f+의/jcm
유통	유통/ncn
수익률이	수익/ncn+률/xsn+이/jcs
연	연/mma
21.05	21.05/nnc
포인트에	포인트/nbu+에/jca
달해	달하/pvg+어/ecs
사상	사상/ncn
최고치를	최고/ncn+치/xsn+를/jco
기록했습니다.	기록/ncpa+하/xsv+었/ep+습니다/ef+./sf
장기	장기/ncn
금리인	금리/ncn+이/jp+ㄴ/etm
3년	3/nnc+년/nbu
만기	만기/ncn
회사채	회사채/ncn
금리도	금리/ncn+도/jxc
어제보다	어제/ncn+보다/jca
1.55%	1.55/nnc+%/su
포인트나	포인트/nbu+나/jxc
오른	오르/pvg+ㄴ/etm
17.6%로	17.6/nnc+%/su+로/jca
5년7개월만에	5/nnc+년/nbu+7/nnc+개월/nbu+만/jxc+에/jca
최고치를	최고/ncn+치/xsn+를/jco
나타냈습니다	나타내/pvg+었/ep+습니다/ef
주식	주식/ncn
시장도	시장/ncn+도/jxc
계속	계속/mag
힘을	힘/ncn+을/jco
쓰지	쓰/pvg+지/ecx
못한	못하/px+ㄴ/etm
모습이었습니다.	모습/ncn+이/jp+었/ep+습니다/ef+./sf
오늘	오늘/ncn
장이	장/ncn+이/jcs
시작하자마자	시작/ncpa+하/xsv+자마자/ecs
주식값이	주식/ncn+값/ncn+이/jcs
폭락해	폭락/ncpa+하/xsv+어/ecs
한때	한때/ncn
4백30선까지	4백/nnc+30/nnc+선/nbu+까지/jxc
무너졌고,	무너지/pvg+었/ep+고/ecc+,/sp
증권사	증권/ncn+사/xsn
노조	노조/ncn
대표들은	대표/ncn+들/xsn+은/jxc
시장을	시장/ncn+을/jco
당분간	당분간/mag
휴장하자고	휴장/ncpa+하/xsv+자/ef+고/jcr
요구하고	요구/ncpa+하/xsv+고/ecc
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
대형주를	대형/ncn+주/ncn+를/jco
중심으로	중심/ncn+으로/jca
외국인	외국/ncn+인/xsn
투자자들의	투자/ncn+자/xsn+들/xsn+의/jcm
매수세가	매수/ncn+세/xsn+가/jcs
일고	일/pvg+고/ecc
금융실명제	금융/ncn+실명/ncn+제/xsn
보완책에	보완/ncn+책/xsn+에/jca
대한	대하/pvg+ㄴ/etm
기대감이	기대/ncn+감/xsn+이/jcs
확산되면서	확산/ncpa+되/xsv+면서/ecc
이들의	이/npp+들/xsn+의/jcm
농성은	농성/ncn+은/jxc
끝났고,	끝/ncn+나/pvg+았/ep+고/ecc+,/sp
종합주가지수는	종합/ncn+주가/ncn+지수/ncn+는/jxc
어제보다	어제/ncn+보다/jca
11.05	11.05/nnc
포인트	포인트/nbu
내린	내리/pvg+ㄴ/etm
439.59로	439.59/nnc+로/jca
마감되었습니다.	마감/ncpa+되/xsv+었/ep+습니다/ef+./sf
환율은	환율/ncn+은/jxc
종금사의	종금/ncn+사/xsn+의/jcm
외환	외환/ncn
수요에	수요/ncn+에/jca
따라	따르/pvg+아/ecs
소폭의	소폭/ncn+의/jcm
오름세를	오름/ncn+세/xsn+를/jco
보여,	보이/pvg+어/ecs+,/sp
내일	내일/ncn
매매	매매/ncn
기준률이	기준/ncn+률/xsn+이/jcs
오늘보다	오늘/ncn+보다/jca
17원	17/nnc+원/nbu
오른	오르/pvg+ㄴ/etm
1,117.50전으로	1/nnc+,/sp+117.50/nnc+전/nbu+으로/jca
결정되었으며	결정/ncpa+되/xsv+었/ep+으며/ecc
8억	8억/nnc
달러	달러/nbu
이상이	이상/ncn+이/jcs
거래돼	거래/ncpa+되/xsv+어/ecs
시장	시장/ncn
기능을	기능/ncn+을/jco
되찾고	되찾/pvg+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
나타났습니다.	나타나/pvg+았/ep+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
이혜승입니다.	이혜승/nq+이/jp+ㅂ니다/ef+./sf
지금	지금/mag
들으신	들/pvg+으시/ep+ㄴ/etm
것처럼	것/nbn+처럼/jca
재계와	재계/ncn+와/jcj
정치권에서는	정치/ncn+권/xsn+에서/jca+는/jxc
지하	지하/ncn
자금을	자금/ncn+을/jco
산업	산업/ncn
자금으로	자금/ncn+으로/jca
끌어	끌/pvg+어/ecs
들이기	들이/pvg+기/etn
위해서	위하/pvg+어서/ecs
무기명	무/xp+기명/ncn
장기채	장기채/ncn
발행을	발행/ncn+을/jco
허용해야	허용/ncpa+하/xsv+어야/ecs
한다는	하/pvg+ㄴ다/ef+는/etm
주장이	주장/ncn+이/jcs
제기되고	제기/ncpa+되/xsv+고/ecx
있습니다마는	있/px+습니다/ef+마는/jxf
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
금융	금융/ncn
실명제의	실명/ncn+제/xsn+의/jcm
골격을	골격/ncn+을/jco
흔들	흔들/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없다고	없/paa+다/ef+고/jcr
반대의	반대/ncn+의/jcm
뜻을	뜻/ncn+을/jco
분명히	분명/ncn+히/xsa
했습니다.	하/pvg+었/ep+습니다/ef+./sf
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
오늘	오늘/mag
귀국했습니다.	귀국/ncpa+하/xsv+었/ep+습니다/ef+./sf
최명길	최명길/nq
기자가	기자/ncn+가/jcs
전해드립니다.	전하/pvg+어/ecx+드리/px+ㅂ니다/ef+./sf
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
오늘	오늘/ncn
기자	기자/ncn
간담회에서	간담/ncn+회/xsn+에서/jca
귀국하는	귀국/ncpa+하/xsv+는/etm
대로	대로/jxc
경제	경제/ncn
안정	안정/ncn
대책을	대책/ncn+을/jco
마련해	마련/ncpa+하/xsv+어/ecs
강력히	강력/ncn+히/xsa
실시하겠다고	실시/ncpa+하/xsv+겠/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
김	김/nq
대통령은	대통령/ncn+은/jxc
그러나	그러나/maj
재계와	재계/ncn+와/jcj
정치권이	정치/ncn+권/xsn+이/jcs
요구하고	요구/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
금융실명제의	금융/ncn+실명/ncn+제/xsn+의/jcm
보완에	보완/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
가능성을	가능/ncn+성/xsn+을/jco
일축했습니다.	일축/ncpa+하/xsv+었/ep+습니다/ef+./sf
실명제가	실명/ncn+제/xsn+가/jcs
이렇게	이렇/pad+게/ecs
완전히	완전/ncn+히/xsa
풀린다던가	풀리/pvg+ㄴ다/ef+던가/ecc
어떻게	어떻/pad+게/ecs
보완한다는	보완/ncpa+하/xsv+ㄴ다/ef+는/etm
이름으로	이름/ncn+으로/jca
그렇게	그렇/pad+게/ecx
된다고	되/px+ㄴ다/ef+고/jcr
하면	하/pvg+면/ecs
우리	우리/npp
나라는	나라/ncn+는/jxc
대단히	대단/ncn+히/xsa
불행한	불행/ncps+하/xsm+ㄴ/etm
나라가	나라/ncn+가/jcc
될	되/pvg+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
믿습니다.	믿/pvg+습니다/ef+./sf
무기명	무/xp+기명/ncn
채권을	채권/ncn+을/jco
발행하는	발행/ncpa+하/xsv+는/etm
것도	것/nbn+도/jxc
골가를	골가/ncn+를/jco
흔드는	흔들/pvg+는/etm
것으로	것/nbn+으로/jca
규정했습니다.	규정/ncpa+하/xsv+었/ep+습니다/ef+./sf
김	김/nq
대통령은	대통령/ncn+은/jxc
무거운	무겁/paa+ㄴ/etm
마음으로	마음/ncn+으로/jca
출국했으나	출국/ncpa+하/xsv+었/ep+으나/ecs
이번	이/mmd+번/nbn
APEC	APEC/f
정상	정상/ncn
회의는	회의/ncn+는/jxc
우리	우리/npp
문제를	문제/ncn+를/jco
우방에	우방/ncn+에/jca
알리고	알리/pvg+고/ecc
협조를	협조/ncn+를/jco
구하는	구하/pvg+는/etm
좋은	좋/paa+은/etm
기회였다고	기회/ncn+이/jp+었/ep+다/ef+고/jcr
평가했습니다.	평가/ncpa+하/xsv+었/ep+습니다/ef+./sf
특히	특히/mag
미국과	미국/nq+과/jcj
일본	일본/nq
캐나다를	캐나다/nq+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
역내	역내/ncn
대부분의	대부분/ncn+의/jcm
국가들이	국가/ncn+들/xsn+이/jcs
한국의	한국/nq+의/jcm
금융	금융/ncn
위기를	위기/ncn+를/jco
안정시키는게	안정/ncpa+시키/xsv+는/etm+거/nbn+이/jcs
지역	지역/ncn
경제	경제/ncn
전체에	전체/ncn+에/jca
대단히	대단/ncn+히/xsa
중요한	중요/ncps+하/xsm+ㄴ/etm
문제라는	문제/ncn+이/jp+라/ef+는/etm
점에	점/nbn+에/jca
의견을	의견/ncn+을/jco
같이했다고	같/paa+이/xsa+하/pvg+었/ef+다/ef+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
오늘	오늘/ncn
오후,	오후/ncn+,/sp
대한항공	대한항공/nq
특별기	특별/ncn+기/xsn
편으로	편/nbn+으로/jca
귀국했습니다.	귀국/ncpa+하/xsv+었/ep+습니다/ef+./sf
김	김/nq
대통령은	대통령/ncn+은/jxc
내일	내일/ncn
아침	아침/ncn
전	전/mma
국무위원을	국무/ncn+위원/ncn+을/jco
불러	부르/pvg+어/ecs
경제	경제/ncn
안정	안정/ncn
대책을	대책/ncn+을/jco
동요하고	동요/ncpa+하/xsv+고/ecc
다음주	다음/ncn+주/ncn
초	초/ncn
확대	확대/ncn
경제	경제/ncn
장관	장관/ncn
회의를	회의/ncn+를/jco
