<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
4당체제로	4/nnc+당/ncn+체제/ncn+로/jca
회귀했다고	회귀/ncpa+하/xsv+었/ep+다/ef+고/jcr
보는	보/pvg+는/etm
일부의	일부/ncn+의/jcm
시각도	시각/ncn+도/jxc
있습니다.	있/paa+습니다/ef+./sf
국민신당	국민신당/nq
출범의	출범/ncn+의/jcm
의미,	의미/ncn+,/sp
그리고	그리고/maj
과제를	과제/ncn+를/jco
성회용	성회용/nq
기자가	기자/ncn+가/jcs
전해드립니다.	전하/pvg+어/ecx+드리/px+ㅂ니다/ef+./sf
국민신당의	국민신당/nq+의/jcm
출범은	출범/ncn+은/jxc
단기필마로	단기/ncn+필마/ncn+로/jca
대선가도를	대선/ncn+가도/ncn+를/jco
달려온	달리/pvg+어/ecx+오/px+ㄴ/etm
이인제	이인제/nq
후보가	후보/ncn+가/jcs
새로운	새롭/paa+ㄴ/etm
정치세력을	정치/ncn+세력/ncn+을/jco
형성할	형성/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
발판을	발판/ncn+을/jco
마련한	마련/ncpa+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
평가됩니다.	평가/ncpa+되/xsv+ㅂ니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
빠른	빠르/paa+ㄴ/etm
시일안에	시일/ncn+안/ncn+에/jca
당직인선을	당직/ncn+인선/ncn+을/jco
마무리하고	마무리/ncpa+하/xsv+고/ecs
선거대책기구도	선거/ncn+대책/ncn+기구/ncn+도/jxc
구성해	구성/ncpa+하/xsv+어/ecs
당의	당/ncn+의/jcm
체제를	체제/ncn+를/jco
갖출	갖추/pvg+ㄹ/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
이인제	이인제/nq
후보는	후보/ncn+는/jxc
국민신당을	국민신당/nq+을/jco
반	반/xp
내각제	내각/ncn+제/xsn
세력의	세력/ncn+의/jcm
구심점으로	구심/ncn+점/ncn+으로/jca
만든다는	만들/pvg+ㄴ다/ef+는/etm
방침	방침/ncn
아래	아래/ncn
내각제를	내각/ncn+제/xsn+를/jco
향한	향하/pvg+ㄴ/etm
공격수위를	공격/ncn+수위/ncn+를/jco
한층	한층/mag
높였습니다.	높이/pvg+었/ep+습니다/ef+./sf
"저는	"/sl+저/npp+는/jxc
반드시	반드시/mag
내각제	내각/ncn+제/xsn
세력을	세력/ncn+을/jco
분쇄하고	분쇄/ncpa+하/xsv+고/ecs
미래로	미래/ncn+로/jca
나가는	나가/pvg+는/etm
세력의	세력/ncn+의/jcm
중심이	중심/ncn+이/jcs
되고자	되/pvg+고자/ecs
합니다.	하/px+ㅂ니다/ef+./sf
"	"/sl
내각제를	내각/ncn+제/xsn+를/jco
쟁점화함으로써	쟁점/ncn+화/xsn+하/xsv+ㅁ/etn+으로써/jca
김대중	김대중/nq
국민회의	국민회의/nq
총재와의	총재/ncn+와/jct+의/jcm
일대일	일/ncc+대/nbu+일/nnc
구도를	구도/ncn+를/jco
만들어	만들/pvg+어/ecx
간다는	가/px+ㄴ다/ef+는/etm
전략에	전략/ncn+에/jca
따라섭니다.	따르/pvg+아/ecx+서/px+ㅂ니다/ef+./sf
국민신당	국민신당/nq
참여인사들은	참여/ncn+인사/ncn+들/xsn+은/jxc
양자	양자/ncn
대결구도가	대결/ncn+구도/ncn+가/jcs
이뤄지면	이루/pvg+어/ecs+지/px+면/ecs
적게는	적/pvg+게/ecs+는/jxc
3%포인트,	3/nnc+%/su+포인트/nbu+,/sp
많게는	많/paa+게/ecs+는/jxc
10%포인트	10/nnc+%/su+포인트/nbu
정도	정도/nbn
벌어진	벌어지/pvg+ㄴ/etm
김대중	김대중/nq
총재와의	총재/ncn+와/jct+의/jcm
지지율	지지/ncn+율/xsn
격차를	격차/ncn+를/jco
쉽게	쉽/paa+게/ecs
역전시킬	역전/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것으로	것/nbn+으로/jca
내다보고	내/pvg+어다/ecs+보/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
그렇지만	그렇지만/maj
국민신당의	국민신당/nq+의/jcm
앞날에는	앞/ncn+날/ncn+에/jca+는/jxc
해결해야할	해결/ncpa+하/xsv+어야/ecs+하/px+ㄹ/etm
과제도	과제/ncn+도/jxc
적지	적/pvg+지/ecx
않습니다.	않/px+습니다/ef+./sf
외형상의	외형/ncn+상/xsn+의/jcm
열세에서	열세/ncn+에서/jca
비롯된	비롯/ncpa+되/xsv+ㄴ/etm
수권능력에	수권/ncn+능력/ncn+에/jca
대한	대하/pvg+ㄴ/etm
의구심	의구/ncn+심/xsn
해소를	해소/ncn+를/jco
위해	위하/pvg+어/ecs
우선	우선/mag
원내교섭단체의	원내/ncn+교섭/ncn+단체/ncn+의/jcm
구성이	구성/ncn+이/jcs
급선뭅니다.	급선무/ncn+ㅂ니다/ef+./sf
또	또/maj
조순	조순/nq
민주당	민주당/nq
총재와	총재/ncn+와/jcj
국민통합추진회의	국민통합추진회의/nq
즉	즉/maj
통추와의	통추/nq+와/jct+의/jcm
연대	연대/ncn
문제도	문제/ncn+도/jxc
현안입니다.	현안/ncn+이/jp+ㅂ니다/ef+./sf
이와함께	이/npd+와/jct+함께/mag
경선불복에	경선/ncn+불복/ncn+에/jca
따른	따르/pvg+ㄴ/etm
비판여론	비판/ncn+여론/ncn
극복과	극복/ncn+과/jcj
청와대측의	청와대/nq+측/nbn+의/jcm
지원	지원/ncn
의혹에	의혹/ncn+에/jca
따른	따르/pvg+ㄴ/etm
당의	당/ncn+의/jcm
정체성	정체/ncn+성/xsn
확보가	확보/ncn+가/jcs
반드시	반드시/mag
풀어야할	풀/paa+어야/ecs+하/px+ㄹ/etm
숙제로	숙제/ncn+로/jca
남게	남/pvg+게/ecx
됐습니다.	되/px+었/ep+습니다/ef+./sf
SBS	SBS/f
성회용입니다.	성회용/nq+이/jp+ㅂ니다/ef+./sf
대선구도가	대선/ncn+구도/ncn+가/jcs
3자	3/nnc+자/xsn
대결로	대결/ncn+로/jca
압축돼가면서	압축/ncpa+되/xsv+어/ecx+가/px+면서/ecs
대선정국의	대선/ncn+정국/ncn+의/jcm
주도권을	주도/ncn+권/xsn+을/jco
잡기위한	잡/pvg+기/etn+위하/pvg+ㄴ/etm
각	각/mma
정당의	정당/ncn+의/jcm
세규합	세/nnc+규합/ncn
경쟁이	경쟁/ncn+이/jcs
치열합니다.	치열/ncps+하/xsm+ㅂ니다/ef+./sf
신한국당은	신한국당/nq+은/jxc
특히	특히/mag
야권의	야권/ncn+의/jcm
DJP	DJP/f
연합과	연합/ncn+과/jcj
이인제	이인제/nq
전지사측의	전/mma+지사/ncn+측/nbn+의/jcm
국민신당을	국민신당/nq+을/jco
3김청산	3/nnc+김/nq+청산/ncn
대상으로	대상/ncn+으로/jca
규정하고	규정/ncpa+하/xsv+고/ecs
적극적인	적극/ncn+적/xsn+이/jp+ㄴ/etm
공세를	공세/ncn+를/jco
펴	펴/pvg+어/ecx
나가기로	나가/px+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
신경렬기자의	신경렬/nq+기자/ncn+의/jcm
보돕니다.	보도/ncn+ㅂ니다/ef+./sf
신한국당이	신한국당/nq+이/jcs
대선정국의	대선/ncn+정국/ncn+의/jcm
주도권	주도/ncn+권/xsn
확보를	확보/ncn+를/jco
위해	위하/pvg+어/ecs
3김	3/nnc+김/nq
청산의	청산/ncn+의/jcm
깃발을	깃발/ncn+을/jco
치켜올렸습니다.	치키/pvg+어/ecs+올리/pvg+었/ep+습니다/ef+./sf
오늘	오늘/mag
대구에서	대구/nq+에서/jca
열린	열리/pvg+ㄴ/etm
필승전진대회는	필승/ncn+전진/ncn+대회/ncn+는/jxc
3김	3/nnc+김/nq
정치와	정치/ncn+와/jcj
결별을	결별/ncn+을/jco
선언하는	선언/ncpa+하/xsv+는/etm
새로운	새롭/paa+ㄴ/etm
다짐의	다짐/ncn+의/jcm
한마당이었습니다.	한마당/ncn+이/jp+었/ep+습니다/ef+./sf
당	당/ncn
내분으로	내분/ncn+으로/jca
주춤하던	주춤/ncpa+하/xsv+던/etm
이회창	이회창/nq
총재의	총재/ncn+의/jcm
목소리는	목소리/ncn+는/jxc
더욱	더욱/mag
높아졌습니다.	높/pvg+아/ecx+지/px+었/ep+습니다/ef+./sf
DJP	DJP/f
연대와	연대/ncn+와/jcj
이인제	이인제/nq
전	전/mma
지사의	지사/ncn+의/jcm
신당을	신당/ncn+을/jco
3김	3/nnc+김/nq
시대	시대/ncn
연장을	연장/ncn+을/jco
위한	위하/pvg+ㄴ/etm
수단이라고	수단/ncn+이/jp+라/ef+고/ecs
몰아치며	몰/pvg+아/ecx+치/px+며/ecs
새로운	새롭/paa+ㄴ/etm
정치혁신을	정치/ncn+혁신/ncn+을/jco
강조했습니다.	강조/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/nq
총재는	총재/ncn+는/jxc
모레까지	모레/ncn+까지/jxc
나흘동안	나흘/ncn+동안/ncn
대구경북	대구/nq+경북/nq
지역을	지역/ncn+을/jco
방문하며	방문/ncpa+하/xsv+며/ecs
정권창출의	정권/ncn+창출/ncn+의/jcm
텃밭을	텃밭/ncn+을/jco
일구겠다는	일구/pvg+겠/ep+다/ef+는/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
비주류측의	비/xp+주류/ncn+측/nbn+의/jcm
후보	후보/ncn
흔들기에	흔들/pvg+기/etn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
더이상	더/mag+이상/ncn
게의치않고	게의/paa+치/ecx+않/px+고/ecs
앞만	앞/ncn+만/jxc
보고	보/pvg+고/ecs
달려간다는	달리/pvg+어/ecx+가/px+ㄴ다/ef+는/etm
입장입니다.	입장/ncn+이/jp+ㅂ니다/ef+./sf
반	반/xp
DJP의	DJP/f+의/jcm
국민연대를	국민/ncn+연대/ncn+를/jco
추진해온	추진/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
비주류측은	비/xp+주류/ncn+측/nbn+은/jxc
한달	한/nnc+달/nbu
뒤	뒤/ncn
재추진을	재/xp+추진/ncn+을/jco
약속한	약속/ncpa+하/xsv+ㄴ/etm
채	채/nbn
사실상	사실/ncn+상/xsn
활동을	활동/ncn+을/jco
정지시켰습니다.	정지/ncpa+시키/xsv+었/ep+습니다/ef+./sf
연대의	연대/ncn+의/jcm
주	주/mma
대상인	대상/ncn+이/jp+ㄴ/etm
이회창,이인제	이회창/nq+,/sp+이인제/nq
후보가	후보/ncn+가/jcs
서로	서로/mag
연대를	연대/ncn+를/jco
거부하고	거부/ncpa+하/xsv+고/ecx
있는데다	있/px+는데다/ecs
당내	당/ncn+내/nbn
서명도	서명/ncn+도/jxc
30명	30/nnc+명/nbu
남짓에	남짓/nbn+에/jca
불과할	불과/ncps+하/xsm+ㄹ/etm
정도로	정도/ncn+로/jca
호응도가	호응/ncn+도/xsn+가/jcs
떨어지고	떨어지/pvg+고/ecx
있기	있/px+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
당	당/ncn
지도부는	지도/ncn+부/xsn+는/jxc
아직도	아직/mag+도/jxc
당력을	당력/ncn+을/jco
결집시켜	결집/ncpa+시키/xsv+어/ecs
선거체제를	선거/ncn+체제/ncn+를/jco
가동하는데	가동/ncpa+하/xsv+는데/ecs
힘	힘/ncn
겨워보입니다.	겹/paa+어/ecx+보이/pvg+ㅂ니다/ef+./sf
박찬종	박찬종/nq
공동선대위원장은	공동/ncn+선대/ncn+위원/ncn+장/xsn+은/jxc
며칠째	며칠/ncn+째/xsn
사실상	사실/ncn+상/xsn
당무	당무/ncn
참여를	참여/ncn+를/jco
거부하고	거부/ncpa+하/xsv+고/ecx
있고	있/px+고/ecs
지구당	지구/ncn+당/xsn
조직도	조직/ncn+도/jxc
자금부족으로	자금/ncn+부족/ncn+으로/jca
삐그덕거리고	삐그덕거리/pvg+고/ecs
있습니다.	있/paa+습니다/ef+./sf
3김	3/nnc+김/nq
청산을	청산/ncn+을/jco
외치며	외치/pvg+며/ecs
달려가는	달리/pvg+어/ecx+가/px+는/etm
후보와	후보/ncn+와/jcj
뒷짐만	뒷짐/ncn+만/jxc
지고	지/pvg+고/ecc
지켜보는	지키/pvg+어/ecs+보/pvg+는/etm
당	당/ncn
조직,	조직/ncn+,/sp
오늘의	오늘/ncn+의/jcm
신한국당	신한국당/nq
모습입니다.	모습/ncn+이/jp+ㅂ니다/ef+./sf
SBS	SBS/f
신경렬입니다.	신경렬/nq+이/jp+ㅂ니다/ef+./sf
부산항을	부산항/nq+을/jco
세계	세계/ncn
3대항으로	3/nno+대/nbu+항/ncn+으로/jca
개발한다는	개발/ncpa+하/xsv+ㄴ다/ef+는/etm
계획으로	계획/ncn+으로/jca
추진된	추진/ncpa+되/xsv+ㄴ/etm
부산	부산/nq
가덕	nq[가덕/nq
신항만	신항만/ncn]nq
공사가	공사/ncn+가/jcs
오늘	오늘/ncn
기공식을	기공/ncn+식/xsn+을/jco
갖고	갖/pvg+고/ecs
본격적으로	본격/ncn+적/xsn+으로/jca
시작됐습니다.	시작/ncpa+되/xsv+었/ep+습니다/ef+./sf
보도에	보도/ncn+에/jca
임광기기잡니다.	임광기/nq+기자/ncn+ㅂ니다/ef+./sf
오늘	오늘/ncn
공사가	공사/ncn+가/jcs
시작된	시작/ncpa+되/xsv+ㄴ/etm
가덕신항만은	가덕신항만/nq+은/jxc
부산	부산/nq
강서구	강서구/xp
가덕도와	가덕도/nq+와/jct
경남	경남/nq
진해시	진해시/nq
용원동	용원동/nq
일대	일대/ncn
266만평에	266만/nnc+평/nbu+에/jca
들어서는데,	들/pvg+어/ecs+서/pvg+는데/ecs+,/sp
부두	부두/ncn
길이만	길이/ncn+만/jxc
총	총/mma
7.8KM에	7.8/nnc+KM/f+에/jca
이릅니다.	이르/paa+ㅂ니다/ef+./sf
가덕신항만	가덕신항만/nq
건설사업은	건설/ncn+사업/ncn+은/jxc
2000년대	2000/nno+년대/nbu
수출입	수출입/ncn
화물	화물/ncn
증가에	증가/ncn+에/jca
대비해	대비/ncpa+하/xsv+어/ecs
부산항을	부산항/nq+을/jco
동북아의	동북아/nq+의/jcm
중심항만으로	중심/ncn+항만/ncn+으로/jca
개발하기	개발/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
정부	정부/ncn
예산	예산/ncn
1조7천억원과	1조/nnc+7천억/nnc+원/nbu+과/jcj
민간	민간/ncn
자본	자본/ncn
3조8천억원	3조/nnc+8천억/nnc+원/nbu
등	등/nbn
모두	모두/mag
5조5천억원이	5조/nnc+5천억/nnc+원/nbu+이/jcs
들어가는	들/pvg+어/ecs+가/pvg+는/etm
대규모	대/xp+규모/ncn
역삽니다.	역사/ncn+ㅂ니다/ef+./sf
"부산신항건설은	"/sl+부산/nq+신항/ncn+건설/ncn+은/jxc
원대한	원대/ncps+하/xsm+ㄴ/etm
꿈이	꿈/ncn+이/jcs
담긴	담기/pvg+ㄴ/etm
국가적	국가/ncn+적/xsn
과업"	과업/ncn+"/sl
가덕	nq[가덕/nq
신항만은	신항만/ncn]nq+은/jxc
오는	오/pvg+는/etm
2011년까지	2011/nno+년/nbu+까지/jxc
2단계로	2/nnc+단계/nbu+로/jca
나뉘어	나뉘/pvg+어/ecs
계속되는데,	계속/ncpa+되/xsv+는데/ecs+,/sp
공사가	공사/ncn+가/jcs
모두	모두/mag
끝나면	끝/ncn+나/pvg+면/ecs
컨테이너	컨테이너/ncn
부두	부두/ncn
24개	24/nnc+개/nbu
선석과	선석/ncn+과/jcj
다목적	다목적/ncn
부두	부두/ncn
1개선석이	1/nnc+개/nbu+선석/ncn+이/jcs
건설돼	건설/ncpa+되/xsv+어/ecs
연간	연간/ncn
460만개의	460만/nnc+개/nbu+의/jcm
컨테이너와	컨테이너/ncn+와/jcj
30만대의	30만/nnc+대/nbu+의/jcm
자동차를	자동/ncn+차/ncn+를/jco
처리할	처리/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게됩니다.	있/paa+게/ecx+되/px+ㅂ니다/ef+./sf
부산항을	부산항/nq+을/jco
세계	세계/ncn
3대	3/nno+대/nbu
항만으로	항만/ncn+으로/jca
개발한다는	개발/ncpa+하/xsv+ㄴ다/ef+는/etm
계획으로	계획/ncn+으로/jca
추진된	추진/ncpa+되/xsv+ㄴ/etm
가덕신항만은	가덕신항만/nq은/jxc
민자유치사업으로	민자/ncn+유치/ncn+사업/ncn+으로/jca
삼성물산과	삼성물산/nq+과/jcj
현대건설,	현대건설/nq+,/sp
동아건설	동아/건설/nq
등	등/nbn
24개	24/nnc+개/nbu
업체가	업체/ncn+가/jcs
참가한	참가/ncpa+하/xsv+ㄴ/etm
삼성물산컨소시엄이	nq[삼성물산/nq+컨소시엄/ncn]nq+이/jcs
공사를	공사/ncn+를/jco
맡았습니다.	맡/pvg+았/ep+습니다/ef+./sf
가덕신항만이	가덕신항만/nq+이/jcs
건설되면	건설/ncpa+되/xsv+면/ecs
국내	국내/ncn
항만적체	항만/ncn+적체/ncn
현상을	현상/ncn+을/jco
현저히	현저/ncn+히/xsa
개선할	개선/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
광양항과	광양항/nq+과/jct
함께	함께/mag
중국,	중국/nq+,/sp
일본,	일본/nq+,/sp
동남아권의	동남아/nq+권/xsn+의/jcm
화물을	화물/ncn+을/jco
유치하는데도	유치/ncpa+하/xsv+는데/ecs+도/jxc
크게	크/paa+게/ecs
기여할	기여/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
기대되고	기대/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
SBS	SBS/f
임광깁니다.	임광기/nq+ㅂ니다/ef+./sf
증권가를	증권/ncn+가/xsn+를/jco
휩쓸던	휩쓸/pvg+던/etm
주가폭락의	주가/ncn+폭락/ncn+의/jcm
바람이	바람/ncn+이/jcs
이제	이제/mag
잠잠해지고	잠잠/ncpa+하/xsm+어/ecx+지/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
오늘도	오늘/ncn+도/jxc
주가는	주가/ncn+는/jxc
30포인트	30/nnc+포인트/nbu
이상	이상/nbn
폭등하면서	폭등/ncpa+하/xsv+면서/ecs
종합주가지수	종합/ncn+주가/ncn+지수/ncn
540선을	540/nnc+선/ncn+을/jco
회복했습니다.	회복/ncpa+하/xsv+었/ep+습니다/ef+./sf
환율도	환율/ncn+도/jxc
정부의	정부/ncn+의/jcm
지속적인	지속/ncn+적/xsn+이/jp+ㄴ/etm
개입으로	개입/ncn+으로/jca
계속	계속/mag
안정세를	안정/ncn+세/xsn+를/jco
찾고	찾/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
유원식	유원식/nq
기잡니다.	기자/ncn+ㅂ니다/ef+./sf
한	한/nnc
증권회사	증권/ncn+회사/ncn
여직원들이	여직원/ncn+들/xsn+이/jcs
어버이날도	어버이날/ncn+도/jxc
아닌데	아니/paa+ㄴ데/ecs
가슴마다	가슴/ncn+마다/jxc
빨간	빨갛/paa+ㄴ/etm
카네이션을	카네이션/ncn+을/jco
달고	달/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
남자직원들은	남자/ncn+직원/ncn+들/xsn+은/jxc
모두	모두/mag
빨간	빨갛/paa+ㄴ/etm
넥타이를	넥타이/ncn+를/jco
메고	메/pvg+고/ecx
있어	있/px+어/ecs
사무실	사무/ncn+실/xsn
전체가	전체/ncn+가/jcs
붉은색입니다.	붉은색/ncn+이/jp+ㅂ니다/ef+./sf
오늘	오늘/ncn
객장의	객장/ncn+의/jcm
전광판은	전광/ncn+판/ncn+은/jxc
증권회사	증권/ncn+회사/ncn
직원들의	직원/ncn+들/xsn+의/jcm
이런	이런/mmd
간절한	간절/ncps+하/xsm+ㄴ/etm
소망이	소망/ncn+이/jcs
이뤄진	이루/pvg+어/ecs+지/px+ㄴ/etm
듯	듯/nbn
주가상승을	주가/ncn+상승/ncn+을/jco
알리는	알리/pvg+는/etm
빨간색	빨간색/ncn
일색이었습니다.	일색/ncn+이/jp+었/ep+습니다/ef+./sf
종합주가지수는	종합/ncn+주가/ncn+지수/ncn+는/jxc
542.13	542.13/nnc
어제	어제/ncn
보다	보다/jca
무려	무려/mag
30.47포인트가	30.47/nnc+포인트/nbu+가/jcs
올랐습니다.	오르/pvg+았/ep+습니다/ef+./sf
오늘	오늘/ncn
주가상승률	주가/ncn+상승/ncn+률/xsn
5.9%는	5.9/nnc+%/su+는/jxc
증시사상	증시/ncn+사상/ncn
두번째	두/nno+번째/nbu
였고,	이/jp+었/ep+고/ecs+,/sp
상승폭은	상승/ncn+폭/ncn+은/jxc
올해들어	올해/ncn+들/pvg+어/ecs
두번째였습니다	두/nno+번째/nbu+이/jp+었/ep+습니다/ef
이에따라	이/npd+에/jca+따르/pvg+아/ecs
주가는	주가/ncn+는/jxc
지난달	지나/pvg+ㄴ/etm달/ncn
31일	31/nno+일/nbu
이후	이후/ncn
사흘만에	사흘/ncn+만/nbn+에/jca
71포인트가	71/nnc+포인트/nbu+가/jcs
뛰어오르며	뛰/pvg+어/ecs+오르/pvg+며/ecc
열흘만에	열흘/nnc+만/nbn+에/jca
540선을	540/nnc+선/ncn+을/jco
회복했습니다.	회복/ncpa+하/xsv+었/ep+습니다/ef+./sf
홍성택	홍성택/nq
쌍용증권	쌍용증권/nq
부장	부장/ncn
-	-/sd
외국인들이	외국/ncn+인/xsn+들/xsn+이/jcs
한도확대이후	한도/ncn+확대/ncn+이후/ncn
계속	계속/ncn
매수에	매수/ncn+에/jca
나서고	나서/pvg+고/ecx
있으며	있/px+으며/ecs
주가가	주가/ncn+가/jcs
더이상	더/mag+이상/ncn
떨어지지	떨어지/pvg+지/ecx
않을	않/px+을/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
생각으로	생각/ncn+으로/jca
개인들이	개인/ncn+들/xsn+이/jcs
가세	가세/ncn
달러에	달러/ncn+에/jca
대한	대하/pvg+ㄴ/etm
원화의	원화/ncn+의/jcm
환율은	환율/ncn+은/jxc
오늘	오늘/ncn
970원에	970/nnc+원/nbu+에/jca
거래가	거래/ncn+가/jcs
시작됐으나	시작/ncpa+되/xsv+었/ep+으나/ecs
외환당국의	외환/ncn+당국/ncn+의/jcm
강력한	강력/ncps+하/xsm+ㄴ/etm
개입으로	개입/ncn+으로/jca
더	더/mag
오르지	오르/pvg+지/ecx
못하고	못하/px+고/ecs
961원에	961/nnc+원/nbu+에/jca
마감됐습니다.	마감/ncpa+되/xsv+었/ep+습니다/ef+./sf
특히	특히/mag
일반인들의	일반/ncn+인/xsn+들/xsn+의/jcm
달러매물이	달러/ncn+매물/ncn+이/jcs
쏟아지면서	쏟/pvg+아/ecx+지/px+면서/ecs
오전한때	오전/ncn+한/nnc+때/ncn
952원까지	952/nnc+원/nbu+까지/jxc
떨어지기도	떨어지/pvg+기/etn+도/jxc
했습니다.	/ncpa+하/xsv+었/ep+습니다/ef+./sf
금융전문가들은	금융/ncn+전문/ncn+가/xsn+들/xsn+은/jxc
주가폭락과	주가/ncn+폭락/ncn+과/jcj
환율급등의	환율/ncn+급등/ncn+의/jcm
악순환의	악순환/ncn+의/jcm
고리는	고리/ncn+는/jxc
일단	일단/mag
끊긴	끊기/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
판단하고	판단/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
그러나,	그러나/maj+,/sp
해태와	해태/nq+와/jcj
뉴코아등	뉴코아/nq+등/nbn
최근	최근/ncn
다시	다시/mag
일어나는	일어나/pvg+는/etm
재벌그룹의	재벌/ncn+그룹/ncn+의/jcm
부도가	부도/ncn+가/jcs
금융시장	금융/ncn+시장/ncn
안정의	안정/ncn+의/jcm
또다른	또/mag+다르/paa+ㄴ/etm
걸림돌이	걸림돌/ncn+이/jcs
될	되/pvg+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
큰	크/paa+ㄴ/etm
것으로	것/nbn+으로/jca
우려되고	우려/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
SBS유원식	SBS/f+유원식/nq
입니다	이/jp+ㅂ니다/ef+./sf
법정관리에	법정/ncn+관리/ncn+에/jca
들어간	들/pvg+어/ecs+가/pvg+ㄴ/etm
기아자동차의	기아자동차/nq+의/jcm
정상화를	정상/ncn+화/xsn+를/jco
위해	위하/pvg+어/ecs
산업은행	산업은행/nq
김재권	김재권/nq
부장을	부장/ncn+을/jco
단장으로한	단장/ncn+으로/jca+하/pvg+ㄴ/etm
자금관리단이	자금/ncn+관리/ncn+단/xsn+이/jcs
오늘	오늘/ncn
오후부터	오후/ncn+부터/jxc
활동을	활동/ncn+을/jco
시작했습니다.	시작/ncpa+하/xsv+었/ep+습니다/ef+./sf
산업은행은	산업은행/nq+은/jxc
진념	진념/nq
전	전/mma
노동부장관과	노동부/nq+장관/ncn+과/jcj
박제혁	박제혁/ncn
사장을	사장/ncn+을/jco
기아자동차	기아자동차/nq
공동보전관리인으로	공동/ncn+보전/ncn+관리/ncn+인/xsn+으로/jca
결정하고	결정/ncpa+하/xsv+고/ecs
법원에	법원/ncn+에/jca
승인을	승인/ncn+을/jco
요청했습니다.	요청/ncpa+하/xsv+었/ep+습니다/ef+./sf
그러나	그러나/maj
어제부터	어제/ncn+부터/jxc
정상조업에	정상/ncn+조업/ncn+에/jca
